지수명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"코스피","2018.89","1976.12","-42.77","-2.12","1.44204642E8","1.96311494E9"
"코스피 200","267.15","251.28","-15.87","-5.94","3.4111481E7","1.513301078E9"
"코스피 100","2027.68","1888.35","-139.33","-6.87","2.3768518E7","1.345039962E9"
"코스피 50","1757.87","1613.50","-144.37","-8.21","1.5168251E7","1.064198069E9"
"코스피 200 중소형주","912.66","997.21","84.55","9.26",,
"코스피 200 초대형제외 지수","238.18","227.75","-10.43","-4.38",,
"코스피200제외 코스피지수","1936.61","2304.32","367.71","18.99",,
"코스피 200 커뮤니케이션서비스","1105.65","1439.45","333.80","30.19",,
"코스피 200 건설","514.38","330.44","-183.94","-35.76","2854021.0","9.7533423E7"
"코스피 200 중공업","526.30","359.85","-166.45","-31.63","5112397.0","1.25670024E8"
"코스피 200 철강/소재","925.10","925.79","0.69","0.07","1466713.0","7.221764E7"
"코스피 200 에너지/화학","1168.96","910.19","-258.77","-22.14","3271483.0","1.80069621E8"
"코스피 200 정보기술","1368.75","1570.65","201.90","14.75","6311312.0","4.41628676E8"
"코스피 200 금융","733.61","702.69","-30.92","-4.21","5615416.0","1.37222846E8"
"코스피 200 생활소비재","986.82","1248.67","261.85","26.53","4830898.0","2.07949701E8"
"코스피 200 경기소비재","2007.48","1783.84","-223.64","-11.14","4649242.0","2.51009147E8"
"코스피 200 산업재","856.01","799.21","-56.80","-6.64",,
"코스피 200 헬스케어","1185.29","1212.56","27.27","2.30",,
"음식료·담배","4022.65","4686.32","663.67","16.50","1995493.0","4.2918856E7"
"섬유·의류","206.42","402.59","196.17","95.03","3857207.0","2.3563495E7"
"종이·목재","301.61","343.17","41.56","13.78","4714104.0","1.0755843E7"
"화학","4136.93","4209.12","72.19","1.75","9642579.0","2.2403249E8"
"제약","4370.03","4891.26","521.23","11.93","8568224.0","4.1329004E7"
"비금속","763.23","1574.32","811.09","106.27","3684728.0","8900384.0"
"금속","5540.95","4817.67","-723.28","-13.05","5159428.0","7.774122E7"
"기계·장비","1010.60","881.76","-128.84","-12.75","4821983.0","4.2734281E7"
"전기전자","11498.44","10929.89","-568.55","-4.94","1.8955925E7","4.02839141E8"
"의료·정밀기기","1574.63","1757.04","182.41","11.58","6292467.0","1.2492607E7"
"운송장비·부품","2532.31","1867.11","-665.20","-26.27","7654064.0","2.5590531E8"
"유통","491.38","495.01","3.63","0.74","2.1076067E7","1.27248569E8"
"전기·가스","1094.52","1317.60","223.08","20.38","1011152.0","3.9529489E7"
"건설","155.75","133.44","-22.31","-14.32","4252746.0","6.6511809E7"
"운송·창고","2293.98","2331.76","37.78","1.65","6692362.0","6.0135307E7"
"통신","287.27","387.69","100.42","34.96","1695111.0","5.0166779E7"
"금융","444.34","430.94","-13.40","-3.02","1.5115859E7","1.70255492E8"
"증권","1947.60","1909.27","-38.33","-1.97","5141596.0","3.5053775E7"
"보험","17580.55","17709.46","128.91","0.73","1275878.0","4.0642797E7"
"일반서비스","986.24","1075.57","89.33","9.06","1.1121566E7","2.71417775E8"
"제조","4315.19","4042.78","-272.41","-6.31","8.1407336E7","1.166663126E9"
"코스피 대형주","2010.78","1897.18","-113.60","-5.65","2.2909429E7","1.350341388E9"
"코스피 중형주","2110.81","2416.12","305.31","14.46","2.5477459E7","3.05850616E8"
"코스피 소형주","1375.89","1858.53","482.64","35.08","9.2282581E7","2.11833722E8"
"코스피 200 비중상한 30%","267.15","251.28","-15.87","-5.94",,
"코스피 200 비중상한 25%","267.15","251.37","-15.78","-5.91",,
"코스피 200 비중상한 20%","266.67","251.72","-14.95","-5.61",,
"오락·문화",,,,,,
"IT 서비스",,,,,,
"부동산",,,,,,
"코스피 200 TOP 10",,"977.32",,,,
