구분,죄종,발생검거,건수
중부,살인,발생,2
중부,살인,검거,2
중부,강도,발생,1
중부,강도,검거,1
중부,"강간,추행",발생,139
중부,"강간,추행",검거,94
중부,절도,발생,917
중부,절도,검거,514
중부,폭력,발생,1032
중부,폭력,검거,931
종로,살인,발생,5
종로,살인,검거,4
종로,강도,발생,5
종로,강도,검거,4
종로,"강간,추행",발생,145
종로,"강간,추행",검거,113
종로,절도,발생,607
종로,절도,검거,307
종로,폭력,발생,892
종로,폭력,검거,732
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,5
남대문,강도,검거,4
남대문,"강간,추행",발생,73
남대문,"강간,추행",검거,50
남대문,절도,발생,603
남대문,절도,검거,350
남대문,폭력,발생,575
남대문,폭력,검거,518
서대문,살인,발생,5
서대문,살인,검거,5
서대문,강도,발생,0
서대문,강도,검거,2
서대문,"강간,추행",발생,160
서대문,"강간,추행",검거,132
서대문,절도,발생,1194
서대문,절도,검거,668
서대문,폭력,발생,1026
서대문,폭력,검거,834
혜화,살인,발생,0
혜화,살인,검거,0
혜화,강도,발생,0
혜화,강도,검거,0
혜화,"강간,추행",발생,94
혜화,"강간,추행",검거,59
혜화,절도,발생,562
혜화,절도,검거,311
혜화,폭력,발생,671
혜화,폭력,검거,551
용산,살인,발생,3
용산,살인,검거,4
용산,강도,발생,3
용산,강도,검거,3
용산,"강간,추행",발생,245
용산,"강간,추행",검거,219
용산,절도,발생,978
용산,절도,검거,561
용산,폭력,발생,1732
용산,폭력,검거,1481
성북,살인,발생,1
성북,살인,검거,1
성북,강도,발생,0
성북,강도,검거,0
성북,강간,발생,92
성북,강간,검거,66
성북,절도,발생,500
성북,절도,검거,309
성북,폭력,발생,662
성북,폭력,검거,596
동대문,살인,발생,5
동대문,살인,검거,6
동대문,강도,발생,4
동대문,강도,검거,3
동대문,"강간,추행",발생,146
동대문,"강간,추행",검거,116
동대문,절도,발생,1280
동대문,절도,검거,847
동대문,폭력,발생,1280
동대문,폭력,검거,847
마포,살인,발생,3
마포,살인,검거,1
마포,강도,발생,4
마포,강도,검거,4
마포,"강간,추행",발생,447
마포,"강간,추행",검거,339
마포,절도,발생,1472
마포,절도,검거,856
마포,폭력,발생,1908
마포,폭력,검거,1688
영등포,살인,발생,12
영등포,살인,검거,12
영등포,강도,발생,10
영등포,강도,검거,10
영등포,"강간,추행",발생,310
영등포,"강간,추행",검거,217
영등포,절도,발생,1854
영등포,절도,검거,1192
영등포,폭력,발생,2232
영등포,폭력,검거,1956
성동,살인,발생,2
성동,살인,검거,1
성동,강도,발생,2
성동,강도,검거,2
성동,"강간,추행",발생,119
성동,"강간,추행",검거,85
성동,절도,발생,893
성동,절도,검거,472
성동,폭력,발생,1007
성동,폭력,검거,851
동작,살인,발생,3
동작,살인,검거,2
동작,강도,발생,3
동작,강도,검거,4
동작,"강간,추행",발생,191
동작,"강간,추행",검거,107
동작,절도,발생,1183
동작,절도,검거,601
동작,폭력,발생,1262
동작,폭력,검거,1049
광진,살인,발생,2
광진,살인,검거,2
광진,강도,발생,5
광진,강도,검거,3
광진,"강간,추행",발생,238
광진,"강간,추행",검거,178
광진,절도,발생,1616
광진,절도,검거,830
광진,폭력,발생,1563
광진,폭력,검거,1320
서부,살인,발생,4
서부,살인,검거,4
서부,강도,발생,2
서부,강도,검거,1
서부,"강간,추행",발생,56
서부,"강간,추행",검거,43
서부,절도,발생,790
서부,절도,검거,537
서부,폭력,발생,919
서부,폭력,검거,811
강북,살인,발생,7
강북,살인,검거,7
강북,강도,발생,1
강북,강도,검거,1
강북,"강간,추행",발생,141
강북,"강간,추행",검거,102
강북,절도,발생,917
강북,절도,검거,730
강북,폭력,발생,1431
강북,폭력,검거,1302
금천,살인,발생,4
금천,살인,검거,3
금천,강도,발생,5
금천,강도,검거,4
금천,"강간,추행",발생,128
금천,"강간,추행",검거,95
금천,절도,발생,987
금천,절도,검거,629
금천,폭력,발생,1116
금천,폭력,검거,1022
중랑,살인,발생,6
중랑,살인,검거,6
중랑,강도,발생,2
중랑,강도,검거,2
중랑,"강간,추행",발생,169
중랑,"강간,추행",검거,134
중랑,절도,발생,1402
중랑,절도,검거,786
중랑,폭력,발생,1745
중랑,폭력,검거,1546
강남,살인,발생,9
강남,살인,검거,6
강남,강도,발생,10
강남,강도,검거,7
강남,"강간,추행",발생,489
강남,"강간,추행",검거,399
강남,절도,발생,1636
강남,절도,검거,696
강남,폭력,발생,2322
강남,폭력,검거,2034
관악,살인,발생,16
관악,살인,검거,17
관악,강도,발생,10
관악,강도,검거,10
관악,"강간,추행",발생,328
관악,"강간,추행",검거,268
관악,절도,발생,2013
관악,절도,검거,1166
관악,폭력,발생,2402
관악,폭력,검거,2035
강서,살인,발생,1
강서,살인,검거,2
강서,강도,발생,6
강서,강도,검거,4
강서,"강간,추행",발생,300
강서,"강간,추행",검거,225
강서,절도,발생,1794
강서,절도,검거,1243
강서,폭력,발생,2195
강서,폭력,검거,2070
강동,살인,발생,4
강동,살인,검거,6
강동,강도,발생,5
강동,강도,검거,4
강동,"강간,추행",발생,144
강동,"강간,추행",검거,122
강동,절도,발생,1676
강동,절도,검거,980
강동,폭력,발생,1569
강동,폭력,검거,1383
종암,살인,발생,0
종암,살인,검거,0
종암,강도,발생,1
종암,강도,검거,1
종암,강간,발생,49
종암,강간,검거,46
종암,절도,발생,484
종암,절도,검거,374
종암,폭력,발생,622
종암,폭력,검거,565
구로,살인,발생,12
구로,살인,검거,12
구로,강도,발생,7
구로,강도,검거,7
구로,"강간,추행",발생,194
구로,"강간,추행",검거,144
구로,절도,발생,1624
구로,절도,검거,849
구로,폭력,발생,1900
구로,폭력,검거,1620
서초,살인,발생,7
서초,살인,검거,8
서초,강도,발생,9
서초,강도,검거,5
서초,"강간,추행",발생,347
서초,"강간,추행",검거,261
서초,절도,발생,1644
서초,절도,검거,762
서초,폭력,발생,1790
서초,폭력,검거,1480
양천,살인,발생,6
양천,살인,검거,5
양천,강도,발생,2
양천,강도,검거,2
양천,강간,발생,113
양천,강간,검거,93
양천,절도,발생,2416
양천,절도,검거,1243
양천,폭력,발생,2483
양천,폭력,검거,2035
송파,살인,발생,8
송파,살인,검거,5
송파,강도,발생,9
송파,강도,검거,8
송파,"강간,추행",발생,307
송파,"강간,추행",검거,229
송파,절도,발생,2416
송파,절도,검거,1243
송파,폭력,발생,2483
송파,폭력,검거,2035
노원,살인,발생,7
노원,살인,검거,6
노원,강도,발생,3
노원,강도,검거,4
노원,"강간,추행",발생,159
노원,"강간,추행",검거,131
노원,절도,발생,1632
노원,절도,검거,845
노원,폭력,발생,1766
노원,폭력,검거,1621
방배,살인,발생,0
방배,살인,검거,0
방배,강도,발생,0
방배,강도,검거,0
방배,강간,발생,65
방배,강간,검거,39
방배,절도,발생,297
방배,절도,검거,172
방배,폭력,발생,363
방배,폭력,검거,322
은평,살인,발생,3
은평,살인,검거,3
은평,강도,발생,1
은평,강도,검거,0
은평,"강간,추행",발생,97
은평,"강간,추행",검거,83
은평,절도,발생,824
은평,절도,검거,533
은평,폭력,발생,797
은평,폭력,검거,663
도봉,살인,발생,7
도봉,살인,검거,6
도봉,강도,발생,4
도봉,강도,검거,3
도봉,강간,발생,90
도봉,강간,검거,72
도봉,절도,발생,995
도봉,절도,검거,582
도봉,폭력,발생,825
도봉,폭력,검거,743
수서,살인,발생,5
수서,살인,검거,5
수서,강도,발생,10
수서,강도,검거,11
수서,"강간,추행",발생,189
수서,"강간,추행",검거,168
수서,절도,발생,844
수서,절도,검거,588
수서,폭력,발생,1249
수서,폭력,검거,1078
