/Season/Episode/Title/Broadcast_date/Rating
0/1/0/Unaired Original Pilot/2011/9.2
1/1/1/Winter Is Coming/Sat, Apr 16, 2011/8.9
2/1/2/The Kingsroad/Sun, Apr 24, 2011/8.6
3/1/3/Lord Snow/Sun, May 1, 2011/8.5
4/1/4/Cripples, Bastards, and Broken Things/Sun, May 8, 2011/8.6
5/1/5/The Wolf and the Lion/Sun, May 15, 2011/9.0
6/1/6/A Golden Crown/Sun, May 22, 2011/9.1
7/1/7/You Win or You Die/Sun, May 29, 2011/9.1
8/1/8/The Pointy End/Sun, Jun 5, 2011/8.9
9/1/9/Baelor/Sun, Jun 12, 2011/9.6
10/1/10/Fire and Blood/Sun, Jun 19, 2011/9.4
11/2/1/The North Remembers/Sun, Apr 1, 2012/8.6
12/2/2/The Night Lands/Sun, Apr 8, 2012/8.3
13/2/3/What Is Dead May Never Die/Sun, Apr 15, 2012/8.7
14/2/4/Garden of Bones/Sun, Apr 22, 2012/8.6
15/2/5/The Ghost of Harrenhal/Sun, Apr 29, 2012/8.6
16/2/6/The Old Gods and the New/Sun, May 6, 2012/8.9
17/2/7/A Man Without Honor/Sun, May 13, 2012/8.8
18/2/8/The Prince of Winterfell/Sun, May 20, 2012/8.6
19/2/9/Blackwater/Sun, May 27, 2012/9.7
20/2/10/Valar Morghulis/Sun, Jun 3, 2012/9.3
21/3/1/Valar Dohaeris/Sun, Mar 31, 2013/8.6
22/3/2/Dark Wings, Dark Words/Sun, Apr 7, 2013/8.4
23/3/3/Walk of Punishment/Sun, Apr 14, 2013/8.7
24/3/4/And Now His Watch Is Ended/Sun, Apr 21, 2013/9.5
25/3/5/Kissed by Fire/Sun, Apr 28, 2013/8.9
26/3/6/The Climb/Sun, May 5, 2013/8.7
27/3/7/The Bear and the Maiden Fair/Sun, May 12, 2013/8.6
28/3/8/Second Sons/Sun, May 19, 2013/8.9
29/3/9/The Rains of Castamere/Sun, Jun 2, 2013/9.9
30/3/10/Mhysa/Sun, Jun 9, 2013/9.1
31/4/1/Two Swords/Sun, Apr 6, 2014/9.0
32/4/2/The Lion and the Rose/Sun, Apr 13, 2014/9.7
33/4/3/Breaker of Chains/Sun, Apr 20, 2014/8.7
34/4/4/Oathkeeper/Sun, Apr 27, 2014/8.7
35/4/5/First of His Name/Sun, May 4, 2014/8.6
36/4/6/The Laws of Gods and Men/Sun, May 11, 2014/9.7
37/4/7/Mockingbird/Sun, May 18, 2014/9.0
38/4/8/The Mountain and the Viper/Sun, Jun 1, 2014/9.7
39/4/9/The Watchers on the Wall/Sun, Jun 8, 2014/9.6
40/4/10/The Children/Sun, Jun 15, 2014/9.7
41/5/1/The Wars to Come/Sun, Apr 12, 2015/8.3
42/5/2/The House of Black and White/Sun, Apr 19, 2015/8.3
43/5/3/High Sparrow/Sun, Apr 26, 2015/8.3
44/5/4/Sons of the Harpy/Sun, May 3, 2015/8.5
45/5/5/Kill the Boy/Sun, May 10, 2015/8.5
46/5/6/Unbowed, Unbent, Unbroken/Sun, May 17, 2015/7.9
47/5/7/The Gift/Sun, May 24, 2015/8.8
48/5/8/Hardhome/Sun, May 31, 2015/9.8
49/5/9/The Dance of Dragons/Sun, Jun 7, 2015/9.4
50/5/10/Mother's Mercy/Sun, Jun 14, 2015/9.1
51/6/1/The Red Woman/Sun, Apr 24, 2016/8.4
52/6/2/Home/Sun, May 1, 2016/9.2
53/6/3/Oathbreaker/Sun, May 8, 2016/8.6
54/6/4/Book of the Stranger/Sun, May 15, 2016/9.0
55/6/5/The Door/Sun, May 22, 2016/9.7
56/6/6/Blood of My Blood/Sun, May 29, 2016/8.3
57/6/7/The Broken Man/Sun, Jun 5, 2016/8.5
58/6/8/No One/Sun, Jun 12, 2016/8.3
59/6/9/Battle of the Bastards/Sun, Jun 19, 2016/9.9
60/6/10/The Winds of Winter/Sun, Jun 26, 2016/9.9
61/7/1/Dragonstone/Sun, Jul 16, 2017/8.5
62/7/2/Stormborn/Sun, Jul 23, 2017/8.8
63/7/3/The Queen's Justice/Sun, Jul 30, 2017/9.1
64/7/4/The Spoils of War/Sun, Aug 6, 2017/9.7
65/7/5/Eastwatch/Sun, Aug 13, 2017/8.7
66/7/6/Beyond the Wall/Sun, Aug 20, 2017/9.0
67/7/7/The Dragon and the Wolf/Sun, Aug 27, 2017/9.4
68/8/1/Winterfell/Sun, Apr 14, 2019/7.6
69/8/2/A Knight of the Seven Kingdoms/Sun, Apr 21, 2019/7.9
70/8/3/The Long Night/Sun, Apr 28, 2019/7.5
71/8/4/The Last of the Starks/Sun, May 5, 2019/5.5
72/8/5/The Bells/Sun, May 12, 2019/5.9
73/8/6/The Iron Throne/Sun, May 19, 2019/4.0
