Season,Episode,Episode ID,Actor,Role
1,1,tt31321401,Mark Addy,Robert Baratheon
1,1,tt31321401,Alfie Allen,Theon Greyjoy
1,1,tt31321401,Sean Bean,Ned Stark
1,1,tt31321401,Esmé Bianco,Roz
1,1,tt31321401,Jamie Campbell Bower,Waymar Royce
1,1,tt31321401,Nikolaj Coster-Waldau,Jaime Lannister
1,1,tt31321401,Peter Dinklage,Tyrion Lannister
1,1,tt31321401,Jennifer Ehle,Catelyn Stark
1,1,tt31321401,Jack Gleeson,Joffrey Baratheon
1,1,tt31321401,Iain Glen,Jorah Mormont
1,1,tt31321401,Kit Harington,Jon Snow
1,1,tt31321401,Lena Headey,Cersei Lannister
1,1,tt31321401,Isaac Hempstead Wright,Bran Stark
1,1,tt31321401,Harry Lloyd,Viserys Targaryen
1,1,tt31321401,Richard Madden,Robb Stark
1,1,tt31321401,George R.R. Martin,Pentoshi Nobleman
1,1,tt31321401,Rory McCann,Sandor Clegane
1,1,tt31321401,Ian McNeice,Illyrio Mopatis
1,1,tt31321401,Tamzin Merchant,Daenerys Targaryen
1,1,tt31321401,Jason Momoa,Khal Drogo
1,1,tt31321401,Art Parkinson,Rickon Stark
1,1,tt31321401,Richard Ridings,Gared
1,1,tt31321401,Sophie Turner,Sansa Stark
1,1,tt31321401,Maisie Williams,Arya Stark
1,2,tt1480055,Sean Bean,Eddard 'Ned' Stark
1,2,tt1480055,Mark Addy,Robert Baratheon
1,2,tt1480055,Nikolaj Coster-Waldau,Jaime Lannister
1,2,tt1480055,Michelle Fairley,Catelyn Stark
1,2,tt1480055,Lena Headey,Cersei Lannister
1,2,tt1480055,Emilia Clarke,Daenerys Targaryen
1,2,tt1480055,Iain Glen,Jorah Mormont
1,2,tt1480055,Harry Lloyd,Viserys Targaryen
1,2,tt1480055,Kit Harington,Jon Snow
1,2,tt1480055,Sophie Turner,Sansa Stark
1,2,tt1480055,Maisie Williams,Arya Stark
1,2,tt1480055,Richard Madden,Robb Stark
1,2,tt1480055,Alfie Allen,Theon Greyjoy
1,2,tt1480055,Isaac Hempstead Wright,Bran Stark
1,2,tt1480055,Jack Gleeson,Joffrey Baratheon
1,2,tt1480055,Rory McCann,Sandor 'The Hound' Clegane
1,2,tt1480055,Peter Dinklage,Tyrion Lannister
1,2,tt1480055,Donald Sumpter,Maester Luwin
1,2,tt1480055,Jamie Sives,Jory Cassel
1,2,tt1480055,Ron Donachie,Rodrik Cassel
1,2,tt1480055,Joseph Mawle,Benjen Stark
1,2,tt1480055,Roger Allam,Illyrio Mopatis
1,2,tt1480055,Dar Salim,Qotho
1,2,tt1480055,Esmé Bianco,Ros
1,2,tt1480055,Susan Brown,Septa Mordane
1,2,tt1480055,Bronson Webb,Will
1,2,tt1480055,John Standing,Jon Arryn
1,2,tt1480055,Rob Ostlere,Waymar Royce
1,2,tt1480055,Dermot Keaney,Gared
1,2,tt1480055,Art Parkinson,Rickon Stark
1,2,tt1480055,Callum Wharry,Tommen Baratheon
1,2,tt1480055,Aimee Richardson,Myrcella Baratheon
1,2,tt1480055,Kristian Nairn,Hodor
1,2,tt1480055,Rania Zouari,Pentoshi Servant
1,2,tt1480055,Ian Whyte,White Walker #1
1,2,tt1480055,Spencer Wilding,White Walker #2
1,2,tt1480055,Claire Wright,Wight Wildling Girl
1,2,tt1480055,Jason Momoa,Khal Drogo
1,3,tt1668746,Sean Bean,Eddard 'Ned' Stark
1,3,tt1668746,Mark Addy,Robert Baratheon
1,3,tt1668746,Nikolaj Coster-Waldau,Jaime Lannister
1,3,tt1668746,Michelle Fairley,Catelyn Stark
1,3,tt1668746,Lena Headey,Cersei Lannister
1,3,tt1668746,Emilia Clarke,Daenerys Targaryen
1,3,tt1668746,Iain Glen,Jorah Mormont
1,3,tt1668746,Harry Lloyd,Viserys Targaryen
1,3,tt1668746,Kit Harington,Jon Snow
1,3,tt1668746,Sophie Turner,Sansa Stark
1,3,tt1668746,Maisie Williams,Arya Stark
1,3,tt1668746,Richard Madden,Robb Stark
1,3,tt1668746,Alfie Allen,Theon Greyjoy
1,3,tt1668746,Isaac Hempstead Wright,Bran Stark
1,3,tt1668746,Jack Gleeson,Joffrey Baratheon
1,3,tt1668746,Rory McCann,Sandor 'The Hound' Clegane
1,3,tt1668746,Peter Dinklage,Tyrion Lannister
1,3,tt1668746,Donald Sumpter,Maester Luwin
1,3,tt1668746,Jamie Sives,Jory Cassel
1,3,tt1668746,Ron Donachie,Rodrik Cassel
1,3,tt1668746,Joseph Mawle,Benjen Stark
1,3,tt1668746,Roxanne McKee,Doreah
