Season,Episode,Episode ID,Episode URL,Cast Info Text,Actors,Characters
1,1,tt31321401,https://www.imdb.com/title/tt31321401/?ref_=ttep_ep,,", Mark Addy, , Alfie Allen, , Sean Bean, , Esmé Bianco, , Jamie Campbell Bower, , Nikolaj Coster-Waldau, , Peter Dinklage, , Jennifer Ehle, , Jack Gleeson, , Iain Glen, , Kit Harington, , Lena Headey, , Isaac Hempstead Wright, , Harry Lloyd, , Richard Madden, , George R.R. Martin, , Rory McCann, , Ian McNeice","Robert Baratheon (), Theon Greyjoy (Mark Addy), Ned Stark (), Roz (Alfie Allen), Waymar Royce (), Jaime Lannister (Sean Bean), Tyrion Lannister (), Catelyn Stark (Esmé Bianco), Joffrey Baratheon (), Jorah Mormont (Jamie Campbell Bower), Jon Snow (), Cersei Lannister (Nikolaj Coster-Waldau), Bran Stark (), Viserys Targaryen (Peter Dinklage), Robb Stark (), Pentoshi Nobleman (Jennifer Ehle), Sandor Clegane (), Illyrio Mopatis (Jack Gleeson)"
1,2,tt1480055,https://www.imdb.com/title/tt1480055/?ref_=ttep_ep_1,,", Sean Bean, , Mark Addy, , Nikolaj Coster-Waldau, , Michelle Fairley, , Lena Headey, , Emilia Clarke, , Iain Glen, , Harry Lloyd, , Kit Harington, , Sophie Turner, , Maisie Williams, , Richard Madden, , Alfie Allen, , Isaac Hempstead Wright, , Jack Gleeson, , Rory McCann, , Peter Dinklage, , Donald Sumpter","Eddard 'Ned' Stark (), Robert Baratheon (Sean Bean), Jaime Lannister (), Catelyn Stark (Mark Addy), Cersei Lannister (), Daenerys Targaryen (Nikolaj Coster-Waldau), Jorah Mormont (), Viserys Targaryen (Michelle Fairley), Jon Snow (), Sansa Stark (Lena Headey), Arya Stark (), Robb Stark (Emilia Clarke), Theon Greyjoy (), Bran Stark (Iain Glen), Joffrey Baratheon (), Sandor 'The Hound' Clegane (Harry Lloyd), Tyrion Lannister (), Maester Luwin (Kit Harington)"
1,3,tt1668746,https://www.imdb.com/title/tt1668746/?ref_=ttep_ep_2,,", Sean Bean, , Mark Addy, , Nikolaj Coster-Waldau, , Michelle Fairley, , Lena Headey, , Emilia Clarke, , Iain Glen, , Harry Lloyd, , Kit Harington, , Sophie Turner, , Maisie Williams, , Richard Madden, , Alfie Allen, , Isaac Hempstead Wright, , Jack Gleeson, , Rory McCann, , Peter Dinklage, , Donald Sumpter","Eddard 'Ned' Stark (), Robert Baratheon (Sean Bean), Jaime Lannister (), Catelyn Stark (Mark Addy), Cersei Lannister (), Daenerys Targaryen (Nikolaj Coster-Waldau), Jorah Mormont (), Viserys Targaryen (Michelle Fairley), Jon Snow (), Sansa Stark (Lena Headey), Arya Stark (), Robb Stark (Emilia Clarke), Theon Greyjoy (), Bran Stark (Iain Glen), Joffrey Baratheon (), Sandor 'The Hound' Clegane (Harry Lloyd), Tyrion Lannister (), Maester Luwin (Kit Harington)"
1,4,tt1829962,https://www.imdb.com/title/tt1829962/?ref_=ttep_ep_3,,", Sean Bean, , Mark Addy, , Nikolaj Coster-Waldau, , Michelle Fairley, , Lena Headey, , Emilia Clarke, , Iain Glen, , Aidan Gillen, , Harry Lloyd, , Kit Harington, , Sophie Turner, , Maisie Williams, , Isaac Hempstead Wright, , Richard Madden, , Jack Gleeson, , Peter Dinklage, , Conleth Hill, , James Cosmo","Eddard 'Ned' Stark (), Robert Baratheon (Sean Bean), Jaime Lannister (), Catelyn Stark (Mark Addy), Cersei Lannister (), Daenerys Targaryen (Nikolaj Coster-Waldau), Jorah Mormont (), Petyr 'Littlefinger' Baelish (Michelle Fairley), Viserys Targaryen (), Jon Snow (Lena Headey), Sansa Stark (), Arya Stark (Emilia Clarke), Bran Stark (), Robb Stark (Iain Glen), Joffrey Baratheon (), Tyrion Lannister (Aidan Gillen), Lord Varys (), Jeor Mormont (Harry Lloyd)"
1,5,tt1829963,https://www.imdb.com/title/tt1829963/?ref_=ttep_ep_4,,", Sean Bean, , Mark Addy, , Nikolaj Coster-Waldau, , Michelle Fairley, , Lena Headey, , Emilia Clarke, , Iain Glen, , Aidan Gillen, , Harry Lloyd, , Kit Harington, , Sophie Turner, , Maisie Williams, , Richard Madden, , Alfie Allen, , Isaac Hempstead Wright, , Jack Gleeson, , Rory McCann, , Peter Dinklage","Eddard 'Ned' Stark (), Robert Baratheon (Sean Bean), Jaime Lannister (), Catelyn Stark (Mark Addy), Cersei Lannister (), Daenerys Targaryen (Nikolaj Coster-Waldau), Jorah Mormont (), Petyr 'Littlefinger' Baelish (Michelle Fairley), Viserys Targaryen (), Jon Snow (Lena Headey), Sansa Stark (), Arya Stark (Emilia Clarke), Robb Stark (), Theon Greyjoy (Iain Glen), Bran Stark (), Joffrey Baratheon (Aidan Gillen), Sandor 'The Hound' Clegane (), Tyrion Lannister (Harry Lloyd)"
1,6,tt1829964,https://www.imdb.com/title/tt1829964/?ref_=ttep_ep_5,,", Sean Bean, , Mark Addy, , Nikolaj Coster-Waldau, , Michelle Fairley, , Lena Headey, , Aidan Gillen, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Isaac Hempstead Wright, , Jack Gleeson, , Rory McCann, , Peter Dinklage, , Donald Sumpter, , Conleth Hill, , Jamie Sives, , Ron Donachie, , Jerome Flynn","Eddard 'Ned' Stark (), Robert Baratheon (Sean Bean), Jaime Lannister (), Catelyn Stark (Mark Addy), Cersei Lannister (), Petyr 'Littlefinger' Baelish (Nikolaj Coster-Waldau), Sansa Stark (), Arya Stark (Michelle Fairley), Theon Greyjoy (), Bran Stark (Lena Headey), Joffrey Baratheon (), Sandor 'The Hound' Clegane (Aidan Gillen), Tyrion Lannister (), Maester Luwin (Sophie Turner), Lord Varys (), Jory Cassel (Maisie Williams), Rodrik Cassel (), Bronn (Alfie Allen)"
1,7,tt1837862,https://www.imdb.com/title/tt1837862/?ref_=ttep_ep_6,,", Sean Bean, , Mark Addy, , Michelle Fairley, , Lena Headey, , Emilia Clarke, , Iain Glen, , Aidan Gillen, , Harry Lloyd, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Isaac Hempstead Wright, , Jack Gleeson, , Peter Dinklage, , Jerome Flynn, , Ron Donachie, , Ian McElhinney","Eddard 'Ned' Stark (), Robert Baratheon (Sean Bean), Catelyn Stark (), Cersei Lannister (Mark Addy), Daenerys Targaryen (), Jorah Mormont (Michelle Fairley), Petyr 'Littlefinger' Baelish (), Viserys Targaryen (Lena Headey), Robb Stark (), Sansa Stark (Emilia Clarke), Arya Stark (), Theon Greyjoy (Iain Glen), Bran Stark (), Joffrey Baratheon (Aidan Gillen), Tyrion Lannister (), Bronn (Harry Lloyd), Rodrik Cassel (), Barristan Selmy (Richard Madden)"
1,8,tt1837863,https://www.imdb.com/title/tt1837863/?ref_=ttep_ep_7,,", Sean Bean, , Mark Addy, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Iain Glen, , Aidan Gillen, , Kit Harington, , Alfie Allen, , Jack Gleeson, , Rory McCann, , Donald Sumpter, , Conleth Hill, , James Cosmo, , Owen Teale, , Charles Dance, , Ian McElhinney, , John Bradley","Eddard 'Ned' Stark (), Robert Baratheon (Sean Bean), Jaime Lannister (), Cersei Lannister (Mark Addy), Daenerys Targaryen (), Jorah Mormont (Nikolaj Coster-Waldau), Petyr 'Littlefinger' Baelish (), Jon Snow (Lena Headey), Theon Greyjoy (), Joffrey Baratheon (Emilia Clarke), Sandor 'The Hound' Clegane (), Maester Luwin (Iain Glen), Lord Varys (), Jeor Mormont (Aidan Gillen), Alliser Thorne (), Tywin Lannister (Kit Harington), Barristan Selmy (), Samwell Tarly (Alfie Allen)"
1,9,tt1837864,https://www.imdb.com/title/tt1837864/?ref_=ttep_ep_8,,", Sean Bean, , Michelle Fairley, , Lena Headey, , Emilia Clarke, , Iain Glen, , Aidan Gillen, , Kit Harington, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Isaac Hempstead Wright, , Jack Gleeson, , Rory McCann, , Peter Dinklage, , Donald Sumpter, , Conleth Hill, , Jerome Flynn","Eddard 'Ned' Stark (), Catelyn Stark (Sean Bean), Cersei Lannister (), Daenerys Targaryen (Michelle Fairley), Jorah Mormont (), Petyr 'Littlefinger' Baelish (Lena Headey), Jon Snow (), Robb Stark (Emilia Clarke), Sansa Stark (), Arya Stark (Iain Glen), Theon Greyjoy (), Bran Stark (Aidan Gillen), Joffrey Baratheon (), Sandor 'The Hound' Clegane (Kit Harington), Tyrion Lannister (), Maester Luwin (Richard Madden), Lord Varys (), Bronn (Sophie Turner)"
1,10,tt1851398,https://www.imdb.com/title/tt1851398/?ref_=ttep_ep_9,,", Sean Bean, , Michelle Fairley, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Iain Glen, , Aidan Gillen, , Kit Harington, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Jack Gleeson, , Rory McCann, , Peter Dinklage, , Conleth Hill, , Jerome Flynn, , James Cosmo","Eddard 'Ned' Stark (), Catelyn Stark (Sean Bean), Jaime Lannister (), Cersei Lannister (Michelle Fairley), Daenerys Targaryen (), Jorah Mormont (Nikolaj Coster-Waldau), Petyr 'Littlefinger' Baelish (), Jon Snow (Lena Headey), Robb Stark (), Sansa Stark (Emilia Clarke), Arya Stark (), Theon Greyjoy (Iain Glen), Joffrey Baratheon (), Sandor 'The Hound' Clegane (Aidan Gillen), Tyrion Lannister (), Lord Varys (Kit Harington), Bronn (), Jeor Mormont (Richard Madden)"
