Season,Episode,Actor,Role,Death_EpIndex
1,1,Sean Bean,Ned Stark,101
1,1,Esmé Bianco,Roz,101
1,1,Jamie Campbell Bower,Waymar Royce,101
1,1,Jennifer Ehle,Catelyn Stark,101
1,1,George R.R. Martin,Pentoshi Nobleman,101
1,1,Rory McCann,Sandor Clegane,101
1,1,Ian McNeice,Illyrio Mopatis,101
1,1,Tamzin Merchant,Daenerys Targaryen,101
1,1,Richard Ridings,Gared,101
1,2,Bronson Webb,Will,102
1,2,John Standing,Jon Arryn,102
1,2,Rob Ostlere,Waymar Royce,102
1,2,Dermot Keaney,Gared,102
1,2,Rania Zouari,Pentoshi Servant,102
1,2,Ian Whyte,White Walker #1,102
1,2,Spencer Wilding,White Walker #2,102
1,2,Claire Wright,Wight Wildling Girl,102
1,3,Sarita Piotrowski,Jhiqui,103
1,3,Rhodri Hosking,Mycah,103
1,3,Lalor Roddy,Catspaw Assassin,103
1,3,Conor Delaney,Lannister Guard,103
1,4,Paul Portelli,Drunk Patron,104
1,4,Nikovich Sammut,Goldcloak #1,104
1,4,Seamus Kelly,Goldcloak #2,104
1,5,Margaret John,Old Nan,105
1,5,Patrick Ryan,Knight of House Frey,105
1,5,Susie Kelly,Masha Heddle,105
1,6,Jamie Sives,Jory Cassel,106
1,6,Roger Allam,Illyrio Mopatis,106
1,6,Conan Stevens,Gregor 'The Mountain' Clegane,106
1,6,Jefferson Hall,Hugh of the Vale,106
1,6,Alan Paris,Goldcloak,106
1,6,Kevin Keenan,Kurleket,106
1,6,Ryan McKenna,Willis Wode,106
1,6,Emily Diamond,King's Landing Whore,106
1,7,Harry Lloyd,Viserys Targaryen,107
1,7,Ciaran Bermingham,Mord,107
1,7,Brendan McCormack,Vardis Egen,107
1,7,Amira Ghazalla,Dothraki Crone,107
1,7,Niall Cusack,Joss,107
1,7,Stephen Don,Stiv,107
1,7,Paddy Rocks,Knight of House Lynderly,107
1,7,Barrington Cullen,Eon Hunter,107
1,7,Barry O'Connor,Night's Watch Deserter,107
1,7,David Michael Scott,Beric Dondarrion,107
1,8,Mark Addy,Robert Baratheon,108
1,8,Simon Lowe,Wine Merchant,108
1,8,Graham Charles,Varly,108
1,8,Jeffrey O'Brien,Jaremy Rykker,108
1,8,Dennis McKeever,Night's Watch Officer,108
1,8,Phil Dixon,Tomard,108
1,8,Tristan Mercieca,Little Bird,108
1,9,Miltos Yerolemou,Syrio Forel,109
1,9,Susan Brown,Septa Mordane,109
1,9,Robert Sterne,Royal Steward,109
1,9,Simon Stewart,Lannister Messenger,109
1,9,Matthew Scurfield,Vayon Poole,109
1,9,Frank O'Sullivan,Night's Watch Messenger,109
1,9,Chris Gallagher,Lannister Scout,109
1,9,Rick Burn,Stark Guard,109
1,9,Hugo Culverhouse,Red Keep Stableboy,109
1,10,Mark Lewis Jones,Shagga,110
1,10,Dar Salim,Qotho,110
1,10,Edward Mercieca,King's Landing Baker,110
1,10,Marcus Lamb,Night's Watchman,110
1,10,Colin Carnegie,Stevron Frey,110
1,10,Bryan McCaugherty,Ryger Rivers,110
1,10,Stephen Grech,King's Landing Urchin,110
