기간,보통휘발유,자동차용경유,실내등유
2013년03월1주,1993.76,1796.02,1403.92
2013년03월2주,1992.37,1793.05,1401.84
2013년03월3주,1985.47,1784.31,1399.03
2013년03월4주,1978.15,1774.91,1396.22
2013년04월1주,1970.5,1765.36,1392.04
2013년04월2주,1963.6,1757.41,1388.63
2013년04월3주,1954.86,1749.82,1385.22
2013년04월4주,1934.44,1731.97,1377.5
2013년05월1주,1915.1,1714.39,1367.62
2013년05월2주,1904.13,1703.55,1359.79
2013년05월3주,1898.06,1697.57,1355.27
2013년05월4주,1896.31,1695.84,1352.47
2013년05월5주,1896.43,1696.09,1350.79
2013년06월1주,1896.51,1696.35,1351.01
2013년06월2주,1898.01,1697.35,1349.93
2013년06월3주,1901.73,1700.23,1350.3
2013년06월4주,1908.38,1706.97,1350.9
2013년07월1주,1914.37,1713.03,1352.18
2013년07월2주,1921.44,1719.89,1354.59
2013년07월3주,1932.46,1729.46,1357.89
2013년07월4주,1945.68,1740.38,1360.19
2013년07월5주,1950.14,1744.27,1358.93
2013년08월1주,1950.28,1745.18,1359.52
2013년08월2주,1949,1744.74,1358.83
2013년08월3주,1947.44,1743.6,1359.52
2013년08월4주,1944.15,1741.3,1358.26
2013년09월1주,1941.41,1739.59,1359.65
2013년09월2주,1939.06,1737.95,1361.83
2013년09월3주,1934.6,1734.47,1360.08
2013년09월4주,1929.92,1730.65,1356.1
2013년10월1주,1918.75,1720.89,1355.89
2013년10월2주,1908.88,1712.57,1352.02
2013년10월3주,1902.55,1708,1351.74
2013년10월4주,1899,1705.68,1353.22
2013년10월5주,1893.48,1701.8,1353.15
2013년11월1주,1885.99,1696.54,1350.04
2013년11월2주,1880.24,1693.08,1351.17
2013년11월3주,1877.1,1690.85,1349.66
2013년11월4주,1876.09,1690.46,1349.15
2013년12월1주,1876.32,1692.03,1349.12
2013년12월2주,1879.63,1697.39,1351.45
2013년12월3주,1881.8,1700.47,1353.4
2013년12월4주,1883.48,1702.26,1352.92
2014년01월1주,1886.29,1704.96,1353.5
2014년01월2주,1889.07,1707.61,1354.25
2014년01월3주,1887.61,1706.56,1353.6
2014년01월4주,1885.14,1704.03,1352.06
2014년01월5주,1883.16,1701.75,1350.16
2014년02월1주,1882.1,1700.5,1349.33
2014년02월2주,1880.42,1698.62,1350.06
2014년02월3주,1880.05,1697.51,1349.07
2014년02월4주,1880.34,1697.37,1348.19
2014년03월1주,1880.78,1697.33,1347.09
2014년03월2주,1881.84,1697.52,1347.88
2014년03월3주,1881.53,1696.41,1344.8
2014년03월4주,1879.95,1694.26,1342.07
2014년04월1주,1878.62,1692.83,1336.96
2014년04월2주,1877.62,1691.35,1339.36
2014년04월3주,1876.04,1688.98,1334.86
2014년04월4주,1874.59,1686.96,1332.4
2014년04월5주,1873.04,1685.19,1330.4
2014년05월1주,1872.42,1684.26,1330.42
2014년05월2주,1870.54,1682.21,1327.87
2014년05월3주,1868.27,1679.57,1325.86
2014년05월4주,1866.6,1677.35,1324.51
2014년06월1주,1865.03,1675.14,1322.41
2014년06월2주,1862.89,1672.42,1321.93
2014년06월3주,1859.79,1668.51,1321.27
2014년06월4주,1859.05,1667.21,1320.1
2014년07월1주,1859.17,1666.74,1320.09
2014년07월2주,1858.69,1664.98,1318.48
2014년07월3주,1856.92,1661.84,1315.73
2014년07월4주,1855.34,1659.1,1314.49
2014년07월5주,1853.44,1656.45,1312.37
2014년08월1주,1850.03,1652.14,1311.76
2014년08월2주,1846.06,1648.43,1308.73
2014년08월3주,1841.26,1643.48,1305.97
2014년08월4주,1833.69,1636.41,1303.9
2014년09월1주,1825.94,1629.23,1298.41
2014년09월2주,1820.71,1624.13,1289.06
2014년09월3주,1814.58,1618.72,1289.5
2014년09월4주,1807.24,1611.37,1284.98
2014년10월1주,1800.27,1604.42,1281.93
2014년10월2주,1793.83,1597.96,1277.02
2014년10월3주,1787.26,1591.19,1272
2014년10월4주,1776.37,1580.04,1266.47
2014년10월5주,1760.59,1564.34,1255.26
2014년11월1주,1746.6,1549.99,1240.31
2014년11월2주,1735.63,1539.36,1231.58
2014년11월3주,1727.62,1531.71,1225.58
2014년11월4주,1717.28,1522.05,1215.93
2014년12월1주,1702.9,1508.46,1205.25
2014년12월2주,1685.68,1492.4,1191.79
2014년12월3주,1655.97,1464.61,1168.31
2014년12월4주,1620.9,1431.34,1134.89
2014년12월5주,1594.92,1407.56,1111.53
2015년01월1주,1568.65,1383.99,1089.41
2015년01월2주,1531.05,1351.25,1058.56
2015년01월3주,1477.49,1306.47,1018.95
2015년01월4주,1435.14,1273.65,985.72
2015년02월1주,1412.17,1255.91,964.79
2015년02월2주,1416.69,1259.52,960.1
2015년02월3주,1447.61,1284.17,968.21
2015년02월4주,1469.75,1300.98,973.13
2015년03월1주,1489.59,1315.79,982.34
2015년03월2주,1506.26,1327.18,986.32
2015년03월3주,1516.03,1333.11,986.17
2015년03월4주,1513.71,1329.61,980.03
2015년04월1주,1510.61,1325.47,975.67
2015년04월2주,1508.25,1321.99,974.19
2015년04월3주,1505.81,1318.76,972.45
2015년04월4주,1505.77,1317.99,968.48
2015년04월5주,1509.27,1320.07,963.18
2015년05월1주,1516.28,1324.08,960.62
2015년05월2주,1532.18,1335.52,967.04
2015년05월3주,1550.92,1350.47,970.97
2015년05월4주,1564.84,1360.61,969.88
2015년06월1주,1572.41,1365.72,969.8
2015년06월2주,1576.74,1368.13,970.76
2015년06월3주,1581,1369.56,971.86
2015년06월4주,1584.29,1370.16,971.87
2015년07월1주,1584.63,1368.87,969.99
2015년07월2주,1583.26,1365.84,970.49
2015년07월3주,1579.03,1358.69,970.55
2015년07월4주,1572.57,1349.16,966.59
2015년07월5주,1566.17,1339.69,960.95
2015년08월1주,1559.68,1330.01,955.39
2015년08월2주,1552.46,1318.71,953.16
2015년08월3주,1543.76,1306.09,945.04
2015년08월4주,1531.96,1289.93,937.95
2015년09월1주,1520.69,1274.99,929.15
2015년09월2주,1515.06,1267.45,921.99
2015년09월3주,1512.32,1264.37,917.51
2015년09월4주,1507.92,1259.89,910.06
2015년09월5주,1504.74,1256.54,899.35
2015년10월1주,1502.11,1254.23,903.91
2015년10월2주,1501.26,1254.04,903.16
2015년10월3주,1499.14,1252.62,899.87
2015년10월4주,1492.66,1247.19,903.61
2015년11월1주,1485.69,1242.07,900.91
2015년11월2주,1479.64,1237.98,895.99
2015년11월3주,1473.29,1234.48,890.06
2015년11월4주,1464.48,1230,883.9
2015년12월1주,1456.66,1226.41,877.98
2015년12월2주,1448.09,1222.31,871.74
2015년12월3주,1434.82,1214.19,863
2015년12월4주,1421.65,1203.14,850.91
2015년12월5주,1411.71,1193.75,840.14
2016년01월1주,1402.27,1183.96,830.25
2016년01월2주,1391.87,1169.93,818.07
2016년01월3주,1380.23,1150.66,802.27
2016년01월4주,1370.01,1131.74,786.67
2016년02월1주,1362.2,1116.96,776.01
2016년02월2주,1358.12,1108.54,769.25
2016년02월3주,1350.41,1098.56,762.76
2016년02월4주,1344.28,1091.75,757.11
2016년03월1주,1340.78,1088.62,753.44
2016년03월2주,1340.43,1089.46,751.4
2016년03월3주,1348.12,1100.46,754.47
2016년03월4주,1357.44,1113.32,758.93
2016년03월5주,1361.81,1120.18,761.58
2016년04월1주,1362.57,1121.85,761.12
2016년04월2주,1361.42,1120.7,759.57
2016년04월3주,1361.46,1121.11,758.94
2016년04월4주,1361.13,1121.23,757.74
2016년05월1주,1366.9,1127.62,758.53
2016년05월2주,1375.56,1137.79,760.02
2016년05월3주,1386.89,1154.54,763.04
2016년05월4주,1404,1180.71,768.62
2016년06월1주,1421.11,1204.58,776.65
2016년06월2주,1432.07,1218.25,783.69
2016년06월3주,1439.45,1227.41,788.47
2016년06월4주,1441.94,1230.6,791.76
2016년06월5주,1442.55,1231.78,792.38
2016년07월1주,1442.47,1232.12,791.5
2016년07월2주,1440.71,1231.15,792.75
2016년07월3주,1436.72,1228.25,793.59
2016년07월4주,1431.03,1223.82,792.25
2016년08월1주,1423.86,1217.83,790.88
2016년08월2주,1414.98,1210.03,789.34
2016년08월3주,1408.51,1204.36,787.96
2016년08월4주,1406.71,1203.03,786.21
2016년08월5주,1408.15,1204.13,785.08
2016년09월1주,1408.32,1203.92,785.68
2016년09월2주,1408.74,1203.51,785.28
2016년09월3주,1408.47,1202.99,783.25
2016년09월4주,1407.17,1201.4,782.6
2016년10월1주,1406.74,1200.62,783.22
2016년10월2주,1410.92,1205.14,785.13
2016년10월3주,1418.61,1213.23,790.54
2016년10월4주,1425.17,1220.24,794.64
2016년11월1주,1428.49,1224.04,799.22
2016년11월2주,1429.04,1224.69,801.09
2016년11월3주,1427.32,1223.12,800.44
2016년11월4주,1424.84,1220.77,799.31
2016년11월5주,1425.15,1220.9,799.62
2016년12월1주,1433.71,1229.39,804
2016년12월2주,1448.16,1243.51,813.05
2016년12월3주,1464.08,1258.88,825.58
2016년12월4주,1475.45,1269.73,834.31
2017년01월1주,1491.85,1285.15,845.49
2017년01월2주,1505.53,1298.04,855.17
2017년01월3주,1511.61,1303.84,860.66
2017년01월4주,1514.46,1306.32,863.08
2017년02월1주,1516.5,1307.91,863.79
2017년02월2주,1517.2,1308.27,864.59
2017년02월3주,1516.91,1307.8,864.97
2017년02월4주,1516.47,1307.07,864.78
2017년03월1주,1515.32,1305.69,864.05
2017년03월2주,1513.58,1303.96,863.77
2017년03월3주,1510.33,1300.83,862.6
2017년03월4주,1504.15,1294.67,861.16
2017년03월5주,1496.22,1286.77,858.5
2017년04월1주,1488.95,1279.37,855.97
2017년04월2주,1486.54,1276.75,853.85
2017년04월3주,1487.41,1277.64,852.09
2017년04월4주,1487.53,1277.89,851.67
2017년05월1주,1486.18,1276.43,850.4
