일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2016/06/24,1925.24,-61.47,-3.09,2001.55,2001.55,1892.75,750546,8724510,1221280862
2016/02/11,1861.54,-56.25,-2.93,1872.68,1877.77,1858.9,386428,4770142,1176622962
2015/08/24,1829.81,-46.26,-2.47,1860.03,1872.86,1800.75,415178,6235256,1143177407
2015/07/06,2053.93,-50.48,-2.4,2076.06,2089.86,2052.23,474043,6359280,1279274183
2016/01/20,1845.45,-44.19,-2.34,1885.36,1885.36,1830.06,407299,5339553,1168847406
2016/09/12,1991.48,-46.39,-2.28,2003.67,2011.04,1991.47,422882,4815792,1267336204
2016/11/09,1958.38,-45.0,-2.25,2008.08,2015.23,1931.07,709043,7431310,1247481566
2014/01/02,1967.19,-44.15,-2.2,2013.11,2013.89,1967.19,207770,4309772,1159892814
2016/01/04,1918.76,-42.55,-2.17,1954.47,1954.52,1918.76,359018,3966274,1215384387
2015/08/21,1876.07,-38.48,-2.01,1862.79,1886.49,1856.91,512314,6834430,1172659638
2013/06/20,1850.49,-37.82,-2.0,1864.37,1873.18,1844.41,355762,4403154,1075097288
2016/06/13,1979.06,-38.57,-1.91,2001.03,2001.79,1976.69,443002,4679938,1253317434
2015/09/23,1944.64,-37.42,-1.89,1960.33,1968.16,1944.51,856989,5433916,1218891581
2016/07/06,1953.12,-36.73,-1.85,1980.11,1982.8,1944.33,457439,4764744,1239376225
2015/11/30,1991.97,-37.02,-1.82,2022.38,2022.38,1987.12,452866,6538490,1263656186
2013/06/07,1923.85,-35.34,-1.8,1953.83,1954.82,1923.84,341120,5503416,1117571379
2013/05/10,1944.75,-34.7,-1.75,1975.48,1975.48,1944.75,283839,4269864,1127552244
2015/01/06,1882.45,-33.3,-1.74,1895.48,1900.02,1877.38,303688,4755440,1171167157
2014/02/04,1886.85,-33.11,-1.72,1894.96,1898.08,1885.53,250976,4537324,1113660661
2015/05/27,2107.5,-36.0,-1.68,2133.49,2134.95,2103.64,439029,8038776,1313307991
2013/07/03,1824.66,-30.36,-1.64,1854.29,1860.46,1823.1,405797,3773792,1061220053
2013/04/05,1927.23,-32.22,-1.64,1948.33,1952.1,1916.77,372650,4924576,1117250181
2014/03/12,1932.54,-31.33,-1.6,1957.67,1958.09,1930.48,329924,4312315,1146460580
2013/11/13,1963.56,-31.92,-1.6,1993.16,1993.16,1963.56,251537,3512885,1156389159
2015/09/21,1964.68,-31.27,-1.57,1973.24,1980.8,1960.11,376423,3858232,1230985524
2014/01/27,1910.34,-30.22,-1.56,1905.91,1918.68,1899.76,340433,4415731,1126909522
2013/08/20,1887.85,-29.79,-1.55,1910.3,1923.42,1885.93,350351,4262101,1101748112
2015/09/04,1886.04,-29.49,-1.54,1921.81,1923.06,1879.94,361090,4688499,1180704916
2015/11/16,1943.02,-30.27,-1.53,1945.68,1956.09,1942.85,433427,5358919,1232730118
2013/06/05,1959.19,-30.32,-1.52,1988.94,1989.29,1959.19,340501,4541747,1139394675
2014/12/11,1916.59,-28.97,-1.49,1930.46,1937.23,1916.49,343635,4483230,1176794065
2013/06/21,1822.83,-27.66,-1.49,1806.4,1823.99,1806.02,290459,5016380,1059243089
2013/08/07,1878.33,-28.29,-1.48,1892.47,1895.5,1878.33,312431,3564849,1094186637
2015/11/10,1996.59,-29.11,-1.44,2015.45,2015.45,1988.54,417458,5734870,1265046203
2013/10/31,2030.09,-29.49,-1.43,2050.96,2055.59,2030.09,254504,4547712,1193781142
2016/11/02,1978.94,-28.45,-1.42,1995.41,1997.46,1976.34,333530,4404094,1260996821
2015/06/29,2060.49,-29.77,-1.42,2056.44,2068.85,2054.33,503807,6207218,1284489136
2013/06/13,1882.73,-27.18,-1.42,1905.1,1911.04,1881.24,306431,5090299,1094042721
2016/02/12,1835.28,-26.26,-1.41,1850.67,1857.12,1817.97,470500,6338971,1160328510
2014/10/01,1991.54,-28.55,-1.41,2013.47,2013.47,1989.84,351581,4441210,1188892215
2015/09/01,1914.23,-27.26,-1.4,1934.44,1939.67,1914.22,324479,4831116,1196137315
2014/08/21,2044.21,-28.57,-1.38,2067.63,2068.22,2041.91,307795,4543755,1223731385
2015/01/16,1888.13,-26.01,-1.36,1907.07,1907.07,1885.62,298733,4008277,1174782572
2015/12/28,1964.06,-26.59,-1.34,1990.59,1991.19,1964.06,396643,3840600,1245487966
2014/04/25,1971.66,-26.68,-1.34,1996.61,1996.64,1971.66,208364,3799283,1174879181
2013/06/24,1799.01,-23.82,-1.31,1821.22,1821.22,1798.98,220937,3170128,1045767756
2013/04/12,1924.23,-25.57,-1.31,1954.22,1956.21,1919.9,407384,5009019,1116543051
2015/05/06,2104.58,-27.65,-1.3,2122.03,2123.22,2095.6,428092,5673933,1313221989
2014/12/10,1945.56,-25.39,-1.29,1964.04,1966.11,1943.27,367890,3921969,1194648226
2015/08/20,1914.55,-24.83,-1.28,1929.43,1933.79,1912.55,397527,5157649,1196321599
2016/09/09,2037.87,-25.86,-1.25,2048.94,2049.3,2029.46,392683,4373806,1298073357
2014/10/10,1940.92,-24.33,-1.24,1953.98,1953.98,1931.88,342823,4426278,1157291259
2013/05/23,1969.19,-24.64,-1.24,1985.91,1991.35,1969.19,342936,4646225,1145194694
2013/04/18,1900.06,-23.78,-1.24,1916.55,1919.53,1900.05,343475,4283588,1102587293
2016/10/11,2031.93,-24.89,-1.21,2053.29,2060.78,2030.51,343216,5340941,1291827780
2016/09/30,2043.63,-25.09,-1.21,2054.25,2056.33,2042.77,326387,5739238,1301803837
2016/08/03,1994.79,-24.24,-1.2,2008.68,2008.68,1993.0,485853,4387077,1269643958
2014/06/20,1968.07,-23.96,-1.2,1990.71,1990.73,1965.12,232659,4818547,1175231501
2013/04/04,1959.45,-23.77,-1.2,1963.39,1965.19,1938.89,415397,4710366,1135677591
2016/01/11,1894.84,-22.78,-1.19,1897.18,1907.43,1892.69,328768,4509490,1199940483
2015/07/08,2016.21,-24.08,-1.18,2045.88,2046.33,2010.83,453118,7561890,1256567111
2014/01/23,1947.59,-22.83,-1.16,1968.77,1969.04,1947.01,229385,3510341,1147763645
2013/11/21,1993.78,-23.46,-1.16,2013.71,2013.71,1985.65,292666,3323343,1174753347
2016/01/26,1871.69,-21.74,-1.15,1881.87,1884.13,1862.98,298825,4470666,1185447563
2017/03/03,2078.75,-23.9,-1.14,2090.92,2091.59,2072.09,425936,5129278,1344318883
2016/10/26,2013.89,-23.28,-1.14,2030.37,2030.37,2002.29,392402,4750669,1282232415
2014/08/08,2031.1,-23.41,-1.14,2049.51,2051.06,2026.56,354821,4575174,1216269889
2015/06/02,2078.64,-23.73,-1.13,2102.62,2107.17,2076.16,520056,7029220,1294288904
2016/04/01,1973.57,-22.28,-1.12,1994.77,1994.77,1970.17,392258,5156265,1250637258
2013/12/04,1986.8,-22.56,-1.12,1998.69,2006.71,1986.8,230327,3645118,1171088722
2016/01/15,1878.87,-21.14,-1.11,1915.83,1918.3,1873.35,312360,4578794,1188669435
2016/01/07,1904.33,-21.1,-1.1,1915.71,1926.41,1901.24,393042,5003025,1205546062
2014/02/03,1919.96,-21.19,-1.09,1930.09,1931.81,1917.64,229649,3978605,1133350198
2013/08/21,1867.46,-20.39,-1.08,1891.01,1894.74,1863.6,411236,4311941,1089791973
2015/12/14,1927.82,-20.8,-1.07,1926.36,1930.4,1919.22,439741,4272255,1221052368
2015/08/03,2008.49,-21.67,-1.07,2026.25,2026.25,2005.21,358746,5118528,1255710752
2014/01/03,1946.14,-21.05,-1.07,1963.72,1964.63,1936.15,188529,3997968,1147185473
2015/09/11,1941.37,-20.74,-1.06,1942.88,1951.26,1939.73,503010,4679790,1215172342
2013/12/03,2009.36,-21.42,-1.05,2023.62,2028.07,2008.55,294947,3753760,1184027197
2014/12/29,1927.86,-20.3,-1.04,1937.27,1941.33,1927.83,265809,3436899,1199530880
2014/06/13,1990.85,-20.8,-1.03,2005.55,2005.55,1984.04,223113,3563016,1187881505
2014/03/10,1954.42,-20.26,-1.03,1967.63,1967.66,1951.96,214944,3440604,1159472446
2013/06/25,1780.63,-18.38,-1.02,1790.33,1807.62,1770.53,332240,4462928,1034842516
2015/11/13,1973.29,-20.07,-1.01,1975.97,1981.27,1969.71,342313,4261918,1251364867
2015/03/09,1992.82,-20.12,-1.0,2004.94,2005.81,1990.87,296747,4048388,1240328478
2014/05/07,1939.88,-19.56,-1.0,1964.19,1964.19,1939.55,193041,3640810,1155215338
2015/12/04,1974.4,-19.67,-0.99,1972.16,1983.02,1970.48,379466,3297515,1253193062
2015/03/26,2022.56,-20.25,-0.99,2027.2,2036.7,2019.51,342261,5154957,1260042046
2013/10/23,2035.75,-20.37,-0.99,2062.81,2063.28,2035.75,367991,5363363,1192377257
2015/10/22,2023.0,-19.98,-0.98,2040.43,2042.57,2019.53,695814,5951986,1275462393
2013/08/22,1849.12,-18.34,-0.98,1847.94,1858.5,1838.52,425947,4284094,1079283752
2013/03/20,1959.41,-19.15,-0.97,1969.19,1978.17,1959.4,332896,3827538,1135121324
2013/11/08,1984.87,-19.17,-0.96,1987.21,1998.59,1984.86,287309,4559408,1168529970
2016/02/02,1906.6,-18.22,-0.95,1914.96,1920.02,1906.06,412273,4639399,1203571836
2014/10/17,1900.66,-18.17,-0.95,1923.51,1923.51,1896.54,362078,4649540,1134184890
2014/03/20,1919.52,-18.16,-0.94,1934.15,1934.63,1919.37,220601,3338319,1136823563
2015/07/24,2045.96,-19.11,-0.93,2060.66,2060.66,2040.3,611869,6152505,1277379658
2013/03/18,1968.18,-18.32,-0.92,1974.71,1982.92,1968.18,304266,3962518,1139864464
2016/11/11,1984.43,-18.17,-0.91,1988.87,1994.05,1982.15,386856,6718928,1272531403
2015/07/30,2019.03,-18.59,-0.91,2040.24,2044.93,2019.03,509318,6809942,1262118199
2015/07/22,2064.73,-18.89,-0.91,2071.06,2075.94,2059.45,1160824,6842552,1288606919
2014/11/04,1935.19,-17.78,-0.91,1950.15,1956.73,1928.52,391713,4971537,1158786117
2016/10/13,2015.44,-18.29,-0.9,2033.99,2035.93,2014.89,440256,4507630,1281839997
2016/05/24,1937.68,-17.57,-0.9,1951.18,1951.39,1937.67,517076,5005499,1224978780
2013/07/08,1816.85,-16.46,-0.9,1830.81,1840.57,1809.72,303581,3586498,1055955742
2016/12/28,2024.49,-17.68,-0.87,2021.86,2029.69,2020.86,356590,3051026,1306848288
2017/04/10,2133.32,-18.41,-0.86,2148.83,2148.83,2128.35,512917,4050059,1384038381
2016/06/16,1951.99,-16.84,-0.86,1971.53,1974.01,1944.8,438794,4452386,1237245630
2015/08/19,1939.38,-16.88,-0.86,1954.56,1959.51,1915.91,506786,7253388,1211657714
2014/05/30,1994.96,-17.3,-0.86,2015.37,2019.17,1994.96,247325,5225528,1192616535
2016/01/14,1900.01,-16.27,-0.85,1893.18,1900.48,1882.02,310979,4387096,1202051363
2014/12/16,1904.13,-16.23,-0.85,1909.01,1919.6,1901.13,369417,4372158,1169418313
2016/11/24,1971.26,-16.69,-0.84,1985.11,1988.96,1968.5,235444,3547734,1267210569
2016/02/03,1890.67,-15.93,-0.84,1893.83,1894.72,1882.75,408595,4815439,1193846682
2016/04/05,1962.74,-16.23,-0.82,1972.38,1973.17,1959.26,368165,4026410,1243245434
2015/08/11,1986.65,-16.52,-0.82,2020.15,2021.81,1986.46,366408,5080635,1242034736
2015/08/06,2013.29,-16.47,-0.81,2037.26,2038.41,2011.6,340507,5884337,1257563011
2013/03/07,2004.4,-16.34,-0.81,2018.63,2018.63,1998.29,386477,3723377,1160519860
2016/05/02,1978.15,-16.0,-0.8,1991.84,1991.84,1977.03,328195,3879204,1248655660
2014/12/01,1965.22,-15.56,-0.79,1971.95,1971.97,1962.15,333977,4702648,1206702110
2014/09/02,2051.58,-16.28,-0.79,2065.97,2066.0,2049.15,323115,4036802,1228125552
2015/05/21,2122.81,-16.73,-0.78,2139.68,2140.6,2121.49,398146,5683597,1322590771
2014/11/14,1945.14,-15.37,-0.78,1959.64,1959.64,1940.49,314797,5229761,1189568574
2013/12/11,1977.97,-15.48,-0.78,1987.22,2000.15,1972.87,231374,3519643,1166361600
2013/03/15,1986.5,-15.63,-0.78,2009.71,2009.71,1985.91,307400,5289392,1150618650
2017/01/31,2067.57,-16.02,-0.77,2077.66,2079.97,2067.57,288275,4596318,1338409357
2014/10/21,1915.28,-14.78,-0.77,1923.62,1923.62,1911.03,405921,4370561,1143668374
2014/10/02,1976.16,-15.38,-0.77,1984.43,1985.06,1966.17,322656,4729990,1179088115
2014/03/03,1964.69,-15.3,-0.77,1967.9,1969.16,1955.11,222622,3469132,1164446936
2015/12/03,1994.07,-15.22,-0.76,2000.2,2000.2,1981.59,365870,3515393,1265264412
2015/12/08,1949.04,-14.63,-0.75,1964.22,1971.07,1948.43,406176,3632715,1234740686
2015/11/09,2025.7,-15.37,-0.75,2038.59,2038.59,2022.52,435389,6058318,1283538895
2015/08/17,1968.52,-14.94,-0.75,1991.05,1991.05,1968.44,561574,4622504,1228555722
2014/03/14,1919.9,-14.48,-0.75,1916.07,1927.89,1913.64,254026,4059805,1138300480
2015/06/03,2063.16,-15.48,-0.74,2078.51,2087.95,2059.34,541167,6612354,1285026881
2014/09/11,2034.16,-15.25,-0.74,2046.97,2052.16,2034.13,333410,5085207,1218106324
2013/09/30,1996.96,-14.84,-0.74,2002.02,2005.41,1994.22,292784,4187246,1167983077
2016/04/28,2000.93,-14.47,-0.72,2020.83,2022.99,1998.6,341143,5460707,1266323307
2015/12/02,2009.29,-14.64,-0.72,2026.08,2026.19,2009.29,631315,4415990,1275060982
2015/04/30,2127.17,-15.46,-0.72,2134.94,2136.9,2121.29,509130,6171207,1327284545
2014/09/18,2047.74,-14.87,-0.72,2058.21,2063.26,2044.17,394273,5301546,1224740978
2014/10/13,1927.21,-13.71,-0.71,1919.48,1932.37,1918.48,308918,4026421,1149472751
2014/09/22,2039.27,-14.55,-0.71,2053.3,2053.3,2032.36,323891,3546258,1217580202
2013/11/20,2017.24,-14.4,-0.71,2028.34,2029.61,2010.74,334803,4465360,1188364623
2014/07/11,1988.74,-14.1,-0.7,1988.93,1993.46,1985.53,277018,3625600,1188243362
2013/11/04,2025.17,-14.25,-0.7,2035.08,2035.84,2022.91,235243,3529048,1191456177
2013/12/02,2030.78,-14.09,-0.69,2050.45,2052.88,2029.1,229692,3273687,1196240276
2016/08/22,2042.16,-14.08,-0.68,2054.37,2054.71,2040.51,343503,4101258,1302637823
2014/08/05,2066.26,-14.16,-0.68,2076.17,2077.73,2058.92,346821,4091101,1235463036
2015/06/16,2028.72,-13.6,-0.67,2045.01,2045.77,2008.46,381408,6360420,1262980145
2016/12/02,1970.61,-13.14,-0.66,1980.14,1981.64,1966.42,243181,3727863,1269074669
2015/07/07,2040.29,-13.64,-0.66,2067.04,2067.93,2028.98,502809,8282446,1270619129
2014/01/17,1944.48,-12.84,-0.66,1958.5,1962.64,1943.13,260911,3334538,1145571788
2014/01/09,1946.11,-12.85,-0.66,1962.3,1964.59,1946.11,276402,4700223,1147927559
2013/03/04,2013.15,-13.34,-0.66,2028.55,2029.32,2011.09,357436,4381358,1165805726
2015/05/15,2106.5,-13.83,-0.65,2132.53,2134.36,2104.77,491706,6152414,1311860888
2015/05/07,2091.0,-13.58,-0.65,2098.48,2099.44,2067.99,423246,5464314,1304188947
2014/06/05,1995.48,-13.08,-0.65,2007.2,2007.2,1986.95,222092,5144478,1193090538
2013/06/19,1888.31,-12.31,-0.65,1899.5,1899.5,1883.41,279751,3320371,1097284518
2017/04/14,2134.88,-13.73,-0.64,2138.28,2141.61,2127.8,383688,3408417,1385279447
2017/02/24,2094.12,-13.51,-0.64,2106.43,2107.83,2090.05,385395,5176798,1353364623
2014/12/30,1915.59,-12.27,-0.64,1934.51,1937.55,1910.78,256437,3695016,1192252867
2014/02/20,1930.57,-12.36,-0.64,1932.9,1941.13,1927.53,232323,3904855,1141966182
2013/07/18,1875.48,-12.01,-0.64,1883.07,1885.01,1870.78,380292,3520563,1092229858
2015/04/24,2159.8,-13.61,-0.63,2181.24,2189.54,2154.27,508420,8265327,1346807973
2014/06/25,1981.77,-12.58,-0.63,1992.69,1993.6,1980.78,336654,3377439,1185269808
2014/05/27,1997.63,-12.72,-0.63,2014.87,2016.73,1988.44,221792,2756316,1193473387
2015/08/18,1956.26,-12.26,-0.62,1977.61,1979.33,1954.35,472766,5607258,1221559996
2015/06/10,2051.32,-12.71,-0.62,2079.13,2080.03,2049.13,427361,6260203,1276549989
2015/04/01,2028.45,-12.58,-0.62,2035.4,2039.04,2024.64,542801,5386245,1265134363
2013/06/11,1920.68,-12.02,-0.62,1933.1,1933.34,1910.05,288160,4438074,1115447452
2017/03/27,2155.66,-13.29,-0.61,2161.17,2165.25,2153.14,395863,5291302,1395348806
2017/01/16,2064.17,-12.62,-0.61,2077.03,2080.05,2058.93,683932,4769155,1331939879
2016/03/08,1946.12,-11.75,-0.6,1958.94,1958.94,1935.55,358685,4893203,1232017083
2014/06/18,1989.49,-12.06,-0.6,2002.26,2002.26,1987.03,216850,3461771,1187513869
2013/10/25,2034.39,-12.3,-0.6,2047.46,2047.46,2023.82,234838,4032298,1191286127
2015/06/01,2102.37,-12.43,-0.59,2110.12,2110.88,2086.0,426928,5897428,1310109641
2016/05/18,1956.73,-11.33,-0.58,1962.78,1964.34,1945.56,696273,6697755,1236578880
2014/11/03,1952.97,-11.46,-0.58,1959.66,1961.04,1947.83,344497,4531278,1169555834
2015/02/10,1935.86,-11.14,-0.57,1949.3,1954.2,1935.86,329203,4136832,1205357397
2013/07/29,1899.89,-10.92,-0.57,1908.66,1912.57,1899.02,337586,4251052,1105825306
2013/06/03,1989.57,-11.48,-0.57,1993.11,2000.56,1989.51,333504,3677704,1156984540
