일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2017/05/08","1315.09","30.31","2.36",,,,,,
"2017/05/04","1284.78","12.86","1.01",,,,,,
"2017/05/02","1271.92","8.92","0.71",,,,,,
"2017/04/28","1263.00","-1.26","-0.10",,,,,,
"2017/04/27","1264.26","1.08","0.09",,,,,,
"2017/04/26","1263.18","6.02","0.48",,,,,,
"2017/04/25","1257.16","14.76","1.19",,,,,,
"2017/04/24","1242.40","5.53","0.45",,,,,,
"2017/04/21","1236.87","8.43","0.69",,,,,,
"2017/04/20","1228.44","4.83","0.39",,,,,,
"2017/04/19","1223.61","-6.43","-0.52",,,,,,
"2017/04/18","1230.04","1.82","0.15",,,,,,
"2017/04/17","1228.22","6.33","0.52",,,,,,
"2017/04/14","1221.89","-8.04","-0.65",,,,,,
"2017/04/13","1229.93","11.72","0.96",,,,,,
"2017/04/12","1218.21","2.66","0.22",,,,,,
"2017/04/11","1215.55","-5.95","-0.49",,,,,,
"2017/04/10","1221.50","-10.29","-0.84",,,,,,
"2017/04/07","1231.79","-0.84","-0.07",,,,,,
"2017/04/06","1232.63","-4.39","-0.35",,,,,,
"2017/04/05","1237.02","0.20","0.02",,,,,,
"2017/04/04","1236.82","-2.78","-0.22",,,,,,
"2017/04/03","1239.60","5.89","0.48",,,,,,
"2017/03/31","1233.71","-2.69","-0.22",,,,,,
"2017/03/30","1236.40","-0.59","-0.05",,,,,,
"2017/03/29","1236.99","2.89","0.23",,,,,,
"2017/03/28","1234.10","4.34","0.35",,,,,,
"2017/03/27","1229.76","-7.48","-0.60",,,,,,
"2017/03/24","1237.24","-1.18","-0.10",,,,,,
"2017/03/23","1238.42","0.96","0.08",,,,,,
"2017/03/22","1237.46","-5.45","-0.44",,,,,,
"2017/03/21","1242.91","12.46","1.01",,,,,,
"2017/03/20","1230.45","-5.24","-0.42",,,,,,
"2017/03/17","1235.69","6.59","0.54",,,,,,
"2017/03/16","1229.10","9.88","0.81",,,,,,
"2017/03/15","1219.22","-1.79","-0.15",,,,,,
"2017/03/14","1221.01","8.52","0.70",,,,,,
"2017/03/13","1212.49","12.03","1.00",,,,,,
"2017/03/10","1200.46","4.19","0.35",,,,,,
"2017/03/09","1196.27","-2.42","-0.20",,,,,,
"2017/03/08","1198.69","1.10","0.09",,,,,,
"2017/03/07","1197.59","6.25","0.52",,,,,,
"2017/03/06","1191.34","2.82","0.24",,,,,,
"2017/03/03","1188.52","-12.96","-1.08",,,,,,
"2017/03/02","1201.48","9.07","0.76",,,,,,
"2017/02/28","1192.41","4.46","0.38",,,,,,
"2017/02/27","1187.95","-6.03","-0.51",,,,,,
"2017/02/24","1193.98","-9.72","-0.81",,,,,,
