일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2015/02/24","133.44","0.54","0.41","132.58","133.72","131.57","7874.0","191499.0","2.3969408E7"
"2015/02/23","132.90","2.24","1.71","132.40","133.55","132.26","6056.0","144086.0","2.387536E7"
"2015/02/17","130.66","1.10","0.85","129.73","131.45","129.25","9055.0","180836.0","2.3473424E7"
"2015/02/16","129.56","1.32","1.03","128.58","129.74","127.94","7882.0","134010.0","2.327787E7"
"2015/02/13","128.24","1.27","1.00","127.35","128.40","126.48","10463.0","142799.0","2.3041275E7"
"2015/02/12","126.97","-1.35","-1.05","128.36","128.57","126.18","13021.0","151098.0","2.2813309E7"
"2015/02/11","128.32","0.78","0.61","127.96","129.40","126.87","8314.0","133413.0","2.3054286E7"
"2015/02/10","127.54","-0.91","-0.71","128.38","128.69","126.72","7017.0","126246.0","2.2916276E7"
"2015/02/09","128.45","-0.04","-0.03","128.33","130.00","128.19","7298.0","122374.0","2.3079781E7"
"2015/02/06","128.49","-0.05","-0.04","128.28","128.80","127.01","5724.0","109217.0","2.3086955E7"
"2015/02/05","128.54","0.79","0.62","126.96","128.59","126.58","7724.0","142758.0","2.3096791E7"
"2015/02/04","127.75","1.98","1.57","127.55","128.86","127.44","7406.0","139377.0","2.2957208E7"
"2015/02/03","125.77","-0.91","-0.72","127.46","127.46","124.74","8216.0","166922.0","2.2600594E7"
"2015/02/02","126.68","0.78","0.62","125.99","128.52","125.99","8205.0","192193.0","2.276204E7"
"2015/01/30","125.90","0.03","0.02","127.23","127.74","125.75","10516.0","209220.0","2.2620639E7"
"2015/01/29","125.87","1.67","1.34","123.34","126.52","123.28","13825.0","228317.0","2.261533E7"
"2015/01/28","124.20","4.10","3.41","119.88","124.20","119.88","13440.0","255264.0","2.2316749E7"
"2015/01/27","120.10","2.90","2.47","118.34","120.10","118.08","7573.0","167456.0","2.1538602E7"
"2015/01/26","117.20","1.13","0.97","116.39","117.20","115.50","5044.0","120794.0","2.1020522E7"
"2015/01/23","116.07","-0.02","-0.02","116.74","116.89","114.63","7701.0","228876.0","2.0819836E7"
"2015/01/22","116.09","2.22","1.95","114.84","116.90","114.75","7988.0","165280.0","2.0828821E7"
"2015/01/21","113.87","-0.13","-0.11","114.05","114.24","113.45","5941.0","107458.0","2.0431744E7"
"2015/01/20","114.00","-0.77","-0.67","114.78","115.21","114.00","6481.0","128189.0","2.0458142E7"
"2015/01/19","114.77","3.63","3.27","112.34","115.58","112.14","8090.0","157029.0","2.0552675E7"
"2015/01/16","111.14","-1.72","-1.52","113.33","113.33","110.76","7484.0","146185.0","1.9904492E7"
"2015/01/15","112.86","-1.54","-1.35","114.20","114.57","112.60","6306.0","93517.0","2.0212478E7"
"2015/01/14","114.40","-0.49","-0.43","114.81","115.50","114.37","6786.0","80233.0","2.0487669E7"
"2015/01/13","114.89","-0.71","-0.61","116.35","116.35","114.66","6354.0","93927.0","2.0574966E7"
"2015/01/12","115.60","-0.12","-0.10","115.64","117.53","115.36","7848.0","98544.0","2.0701398E7"
"2015/01/09","115.72","2.30","2.03","114.26","115.98","113.78","18820.0","120197.0","2.0721261E7"
"2015/01/08","113.42","2.23","2.01","111.52","113.56","111.29","5389.0","91081.0","2.0311678E7"
"2015/01/07","111.19","-1.48","-1.31","111.96","113.61","110.71","7893.0","111053.0","1.991327E7"
"2015/01/06","112.67","-1.83","-1.60","113.32","113.89","112.04","5912.0","124157.0","2.0177274E7"
"2015/01/05","114.50","-1.36","-1.17","115.44","115.44","113.46","5585.0","103903.0","2.050857E7"
"2015/01/02","115.86","-2.80","-2.36","118.23","118.23","115.75","6440.0","91210.0","2.0726988E7"
"2014/12/30","118.66","0.83","0.70","118.40","119.83","118.40","5584.0","82601.0","2.1227589E7"
"2014/12/29","117.83","-0.75","-0.63","118.48","118.77","117.71","4821.0","74593.0","2.1077699E7"
"2014/12/26","118.58","-0.52","-0.44","119.77","119.77","118.26","4229.0","81734.0","2.1210212E7"
"2014/12/24","119.10","1.93","1.65","117.72","120.24","117.51","5262.0","109286.0","2.1302867E7"
"2014/12/23","117.17","-0.24","-0.20","117.25","117.48","115.92","3852.0","81353.0","2.0960796E7"
"2014/12/22","117.41","1.50","1.29","115.99","117.47","115.83","3625.0","59491.0","2.1004329E7"
"2014/12/19","115.91","0.32","0.28","116.62","117.21","115.57","3687.0","63663.0","2.0736797E7"
