일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2015/02/24","10929.89","31.22","0.29","11020.60","11039.89","10921.37","30422.0","666271.0","3.11196125E8"
"2015/02/23","10898.67","-36.30","-0.33","11023.49","11037.81","10894.20","58075.0","793178.0","3.10033501E8"
"2015/02/17","10934.97","-9.62","-0.09","10888.49","10941.59","10873.59","38851.0","403898.0","3.10939021E8"
"2015/02/16","10944.59","61.33","0.56","10915.33","10954.12","10900.26","47728.0","427292.0","3.11347484E8"
"2015/02/13","10883.26","114.89","1.07","10826.45","10883.26","10790.27","47865.0","487916.0","3.09838214E8"
"2015/02/12","10768.37","-66.75","-0.62","10819.80","10851.84","10694.34","50647.0","601224.0","3.06649638E8"
"2015/02/11","10835.12","-57.03","-0.52","10888.80","10901.35","10796.21","53977.0","661728.0","3.08191076E8"
"2015/02/10","10892.15","-116.08","-1.05","11030.54","11051.12","10892.15","68657.0","503783.0","3.10532222E8"
"2015/02/09","11008.23","118.60","1.09","10817.50","11040.74","10796.91","34924.0","596039.0","3.13847224E8"
"2015/02/06","10889.63","47.38","0.44","10799.71","10893.44","10715.97","28847.0","665110.0","3.10443454E8"
"2015/02/05","10842.25","-39.91","-0.37","10925.38","10926.68","10762.21","66709.0","537519.0","3.09001707E8"
"2015/02/04","10882.16","8.25","0.08","10934.63","10993.43","10882.16","41044.0","653068.0","3.1041914E8"
"2015/02/03","10873.91","-5.78","-0.05","10915.19","10948.10","10835.00","55902.0","563504.0","3.09640639E8"
"2015/02/02","10879.69","-27.72","-0.25","10887.79","10953.27","10804.37","49899.0","719965.0","3.09950149E8"
"2015/01/30","10907.41","26.23","0.24","10990.41","10990.41","10885.36","34245.0","996465.0","3.10818466E8"
"2015/01/29","10881.18","-154.69","-1.40","10977.05","11098.82","10881.18","46548.0","915854.0","3.10148835E8"
"2015/01/28","11035.87","-132.18","-1.18","11082.12","11086.99","10982.53","49624.0","752743.0","3.13995139E8"
"2015/01/27","11168.05","117.20","1.06","11042.25","11168.05","11032.84","59914.0","753081.0","3.17599466E8"
"2015/01/26","11050.85","46.41","0.42","10897.19","11061.67","10880.58","37535.0","598226.0","3.1463511E8"
"2015/01/23","11004.44","90.30","0.83","11074.66","11080.28","10947.75","37578.0","715691.0","3.13533469E8"
"2015/01/22","10914.14","-132.27","-1.20","11058.93","11080.01","10914.12","37696.0","913186.0","3.10986904E8"
"2015/01/21","11046.41","178.83","1.65","10857.07","11046.41","10826.31","39029.0","833398.0","3.1475881E8"
"2015/01/20","10867.58","162.14","1.51","10739.64","10867.58","10734.92","25527.0","682537.0","3.09142016E8"
"2015/01/19","10705.44","145.47","1.38","10644.09","10769.32","10613.80","24945.0","509505.0","3.0473207E8"
"2015/01/16","10559.97","-186.20","-1.73","10700.73","10700.73","10540.22","28635.0","813295.0","3.00676694E8"
"2015/01/15","10746.17","-40.80","-0.38","10806.10","10832.09","10693.27","28597.0","711228.0","3.05742036E8"
"2015/01/14","10786.97","46.30","0.43","10756.77","10878.59","10751.96","27558.0","807849.0","3.06824532E8"
"2015/01/13","10740.67","80.80","0.76","10581.02","10752.62","10558.48","27039.0","729451.0","3.05531646E8"
"2015/01/12","10659.87","43.08","0.41","10583.13","10691.95","10560.62","37530.0","534374.0","3.03419735E8"
"2015/01/09","10616.79","-2.81","-0.03","10683.54","10711.22","10616.79","37278.0","706877.0","3.02234227E8"
"2015/01/08","10619.60","162.67","1.56","10634.99","10652.48","10535.96","32172.0","945405.0","3.02276234E8"
"2015/01/07","10456.93","70.28","0.68","10334.07","10484.45","10306.65","42098.0","704931.0","2.97492421E8"
"2015/01/06","10386.65","-216.53","-2.04","10466.38","10491.02","10335.89","46654.0","798460.0","2.95722631E8"
"2015/01/05","10603.18","18.83","0.18","10618.39","10618.39","10471.53","50677.0","584343.0","3.01527491E8"
"2015/01/02","10584.35","0.40","0.00","10627.64","10655.35","10580.01","32692.0","459983.0","3.01146649E8"
"2014/12/30","10583.95","-41.11","-0.39","10664.21","10671.50","10545.73","18068.0","535296.0","3.01656482E8"
"2014/12/29","10625.06","-105.06","-0.98","10661.19","10732.09","10624.75","23344.0","492582.0","3.02335888E8"
"2014/12/26","10730.12","22.75","0.21","10707.03","10755.44","10699.79","29862.0","555552.0","3.05597927E8"
"2014/12/24","10707.37","39.09","0.37","10666.31","10707.37","10661.18","23234.0","399778.0","3.04968607E8"
"2014/12/23","10668.28","-49.40","-0.46","10724.15","10750.07","10657.31","43523.0","554023.0","3.03915639E8"
"2014/12/22","10717.68","109.43","1.03","10684.68","10732.35","10547.81","51064.0","753558.0","3.05209158E8"
"2014/12/19","10608.25","354.65","3.46","10444.48","10615.70","10399.94","50336.0","874913.0","3.01709422E8"
"2014/12/18","10253.60","16.32","0.16","10320.62","10346.29","10154.75","30708.0","647363.0","2.91349422E8"
"2014/12/17","10237.28","-86.88","-0.84","10260.80","10337.97","10222.58","41533.0","700940.0","2.90795037E8"
"2014/12/16","10324.16","-21.62","-0.21","10306.63","10402.68","10292.73","36484.0","633447.0","2.93575739E8"
"2014/12/15","10345.78","-84.79","-0.81","10329.02","10360.67","10251.98","30889.0","618751.0","2.94512477E8"
"2014/12/12","10430.57","-61.78","-0.59","10473.49","10517.30","10357.10","64049.0","745160.0","2.96620728E8"
"2014/12/11","10492.35","-132.08","-1.24","10544.43","10612.01","10450.00","55568.0","993246.0","2.98448908E8"
"2014/12/10","10624.43","-211.43","-1.95","10747.05","10794.38","10624.29","53698.0","755569.0","3.02410919E8"
"2014/12/09","10835.86","167.61","1.57","10674.03","10885.13","10663.15","64041.0","755764.0","3.08473394E8"
"2014/12/08","10668.25","118.10","1.12","10575.43","10680.84","10562.86","51300.0","553088.0","3.03717461E8"
"2014/12/05","10550.15","12.06","0.11","10599.07","10599.07","10533.53","45564.0","438214.0","3.00622815E8"
"2014/12/04","10538.09","38.04","0.36","10536.45","10558.31","10511.91","24121.0","555150.0","3.00300896E8"
"2014/12/03","10500.05","14.05","0.13","10533.06","10536.80","10474.66","22513.0","513863.0","2.99673919E8"
"2014/12/02","10486.00","5.79","0.06","10361.82","10486.00","10308.34","25859.0","500498.0","2.98673599E8"
"2014/12/01","10480.21","15.27","0.15","10478.42","10513.06","10438.48","30318.0","656854.0","2.98937714E8"
"2014/11/28","10464.94","125.10","1.21","10475.52","10502.66","10385.02","34238.0","535281.0","2.98896055E8"
"2014/11/27","10339.84","317.09","3.16","10402.38","10559.04","10339.82","22852.0","1642802.0","2.95191795E8"
"2014/11/26","10022.75","82.07","0.83","10006.44","10078.54","9898.24","19233.0","641927.0","2.85143546E8"
"2014/11/25","9940.68","-138.60","-1.38","10109.13","10109.13","9940.66","28291.0","868194.0","2.82197642E8"
"2014/11/24","10079.28","17.72","0.18","10175.98","10188.01","10014.77","43329.0","552307.0","2.87060428E8"
"2014/11/21","10061.56","84.99","0.85","10072.90","10082.89","10003.20","53409.0","676364.0","2.86316594E8"
