일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2015/02/24","910.19","1.17","0.13","906.82","912.88","903.45","4563.0","220453.0","7.2573987E7"
"2015/02/23","909.02","6.00","0.66","908.96","913.17","906.56","4265.0","215150.0","7.2437116E7"
"2015/02/17","903.02","9.87","1.11","895.59","907.83","889.01","4244.0","209480.0","7.1979238E7"
"2015/02/16","893.15","-11.96","-1.32","913.97","915.20","892.28","6341.0","293250.0","7.1211099E7"
"2015/02/13","905.11","20.29","2.29","896.41","905.20","895.31","6657.0","272484.0","7.2171203E7"
"2015/02/12","884.82","-12.87","-1.43","895.21","895.60","879.99","5693.0","301921.0","7.0620711E7"
"2015/02/11","897.69","-4.47","-0.50","906.46","909.83","893.47","5545.0","299373.0","7.157317E7"
"2015/02/10","902.16","3.91","0.44","899.96","918.90","899.52","7282.0","366613.0","7.2001363E7"
"2015/02/09","898.25","6.58","0.74","893.67","904.05","891.63","6866.0","330053.0","7.1660598E7"
"2015/02/06","891.67","20.72","2.38","878.57","891.67","873.77","5992.0","352681.0","7.1115913E7"
"2015/02/05","870.95","-23.03","-2.58","882.27","884.58","870.95","6827.0","353094.0","6.9575975E7"
"2015/02/04","893.98","5.40","0.61","907.45","910.08","891.16","9320.0","502878.0","7.1360922E7"
"2015/02/03","888.58","13.61","1.56","890.14","892.05","875.87","7880.0","431588.0","7.0870437E7"
"2015/02/02","874.97","14.40","1.67","878.52","888.20","874.97","9639.0","445072.0","6.9854063E7"
"2015/01/30","860.57","8.01","0.94","861.89","864.18","854.28","6489.0","295804.0","6.8806906E7"
"2015/01/29","852.56","-9.86","-1.14","847.15","858.87","843.65","6415.0","308085.0","6.8158326E7"
"2015/01/28","862.42","4.50","0.52","857.30","866.31","853.77","8222.0","343177.0","6.8927309E7"
"2015/01/27","857.92","32.70","3.96","832.91","858.00","830.57","12795.0","446632.0","6.8555015E7"
"2015/01/26","825.22","-8.81","-1.06","826.38","831.41","821.40","5619.0","239191.0","6.5962604E7"
"2015/01/23","834.03","1.25","0.15","845.12","848.01","831.49","10042.0","438845.0","6.6599833E7"
"2015/01/22","832.78","17.68","2.17","822.62","834.86","822.26","8708.0","375871.0","6.6482781E7"
"2015/01/21","815.10","1.34","0.16","807.04","815.10","802.79","7988.0","231143.0","6.5112059E7"
"2015/01/20","813.76","4.49","0.55","810.21","821.41","809.61","8109.0","247870.0","6.5036258E7"
"2015/01/19","809.27","29.98","3.85","792.89","812.59","792.67","11775.0","391364.0","6.4670947E7"
"2015/01/16","779.29","-10.13","-1.28","786.13","786.31","775.18","11875.0","264486.0","6.2386071E7"
"2015/01/15","789.42","2.23","0.28","795.34","795.99","782.37","6526.0","217494.0","6.3220472E7"
"2015/01/14","787.19","-1.43","-0.18","789.94","794.23","785.21","5298.0","204713.0","6.2980137E7"
"2015/01/13","788.62","-3.53","-0.45","784.85","794.20","779.44","6177.0","247864.0","6.3124036E7"
"2015/01/12","792.15","3.61","0.46","785.20","800.33","784.28","11712.0","257539.0","6.3409887E7"
"2015/01/09","788.54","23.37","3.05","776.05","791.67","773.09","7266.0","325912.0","6.3120635E7"
"2015/01/08","765.17","9.14","1.21","763.91","768.41","762.70","5559.0","252110.0","6.1280473E7"
"2015/01/07","756.03","-0.89","-0.12","754.50","766.55","753.93","5527.0","249870.0","6.0640239E7"
"2015/01/06","756.92","-24.94","-3.19","768.81","772.25","754.89","7460.0","361724.0","6.0689032E7"
"2015/01/05","781.86","-11.08","-1.40","783.24","784.95","770.98","6944.0","263515.0","6.2681705E7"
"2015/01/02","792.94","-4.33","-0.54","792.18","795.33","786.08","4885.0","181182.0","6.3548392E7"
"2014/12/30","797.27","-10.00","-1.24","808.93","813.06","793.45","5067.0","195256.0","6.3854404E7"
"2014/12/29","807.27","-17.00","-2.06","817.68","817.68","804.85","5900.0","178325.0","6.4687897E7"
"2014/12/26","824.27","0.14","0.02","823.80","832.77","823.39","4286.0","195960.0","6.6023055E7"
"2014/12/24","824.13","4.95","0.60","819.54","825.10","812.49","4559.0","197694.0","6.6065872E7"
"2014/12/23","819.18","-6.74","-0.82","824.81","825.50","815.65","4238.0","234264.0","6.5668911E7"
"2014/12/22","825.92","12.10","1.49","820.70","833.00","812.86","5500.0","256534.0","6.6179005E7"
"2014/12/19","813.82","2.55","0.31","821.27","821.27","804.33","4559.0","221949.0","6.5214178E7"
"2014/12/18","811.27","-0.07","-0.01","827.77","829.63","800.96","5928.0","262727.0","6.4992279E7"
"2014/12/17","811.34","15.59","1.96","808.08","817.80","804.72","6223.0","302857.0","6.496035E7"
"2014/12/16","795.75","-3.17","-0.40","791.67","807.92","788.62","6823.0","288346.0","6.3730344E7"
"2014/12/15","798.92","17.88","2.29","772.45","800.84","769.41","5392.0","219160.0","6.3987714E7"
"2014/12/12","781.04","-2.69","-0.34","785.05","789.91","779.82","5140.0","214862.0","6.2627684E7"
"2014/12/11","783.73","-9.70","-1.22","780.27","791.86","774.66","7879.0","364432.0","6.2879404E7"
"2014/12/10","793.43","-27.09","-3.30","817.31","818.96","793.05","6100.0","337947.0","6.3665356E7"
"2014/12/09","820.52","-9.48","-1.14","819.40","828.50","815.20","5637.0","212468.0","6.5931558E7"
"2014/12/08","830.00","4.71","0.57","828.22","838.14","827.16","6081.0","214168.0","6.6650964E7"
"2014/12/05","825.29","4.29","0.52","817.02","830.74","816.97","4928.0","213825.0","6.6185728E7"
"2014/12/04","821.00","9.89","1.22","815.85","827.35","814.95","4873.0","204574.0","6.5894031E7"
"2014/12/03","811.11","8.07","1.00","803.43","812.71","799.84","4770.0","183552.0","6.5110342E7"
"2014/12/02","803.04","6.33","0.79","807.90","812.30","800.46","7348.0","290970.0","6.4463355E7"
"2014/12/01","796.71","-31.08","-3.75","807.34","807.34","793.52","9241.0","417389.0","6.3966403E7"
"2014/11/28","827.79","-21.83","-2.57","829.20","833.88","819.27","10451.0","431961.0","6.643387E7"
"2014/11/27","849.62","-14.76","-1.71","859.50","859.50","840.24","10067.0","382229.0","6.8038731E7"
"2014/11/26","864.38","-9.13","-1.05","873.63","874.01","859.84","15275.0","451524.0","6.9211829E7"
"2014/11/25","873.51","-8.87","-1.01","885.47","888.54","871.40","10970.0","444474.0","6.9884482E7"
"2014/11/24","882.38","45.45","5.43","859.28","893.15","859.21","18584.0","819090.0","7.0620224E7"
"2014/11/21","836.93","10.70","1.30","834.23","843.09","833.00","8213.0","290808.0","6.7157255E7"
"2014/11/20","826.23","5.81","0.71","819.84","830.51","817.54","8442.0","298314.0","6.6236021E7"
"2014/11/19","820.42","-8.90","-1.07","830.03","831.29","813.49","8058.0","265012.0","6.5785457E7"
"2014/11/18","829.32","0.06","0.01","829.71","834.52","822.34","7865.0","281148.0","6.6500929E7"
"2014/11/17","829.26","16.52","2.03","811.96","834.01","810.26","11497.0","375359.0","6.6421682E7"
"2014/11/14","812.74","-4.09","-0.50","813.14","814.22","800.11","8904.0","278054.0","6.5139516E7"
"2014/11/13","816.83","-2.03","-0.25","819.97","824.08","815.32","16855.0","435498.0","6.543735E7"
"2014/11/12","818.86","32.53","4.14","793.41","821.85","790.84","11769.0","463747.0","6.5629284E7"
"2014/11/11","786.33","-0.36","-0.05","789.28","791.38","781.49","5289.0","237925.0","6.3090826E7"
"2014/11/10","786.69","5.68","0.73","785.06","791.93","784.43","7387.0","300746.0","6.3040618E7"
"2014/11/07","781.01","6.14","0.79","772.04","783.81","770.10","5636.0","240744.0","6.2536873E7"
"2014/11/06","774.87","23.83","3.17","756.08","778.09","753.53","6493.0","358769.0","6.2024825E7"
"2014/11/05","751.04","-2.48","-0.33","750.53","755.26","744.48","6464.0","310946.0","6.013747E7"
"2014/11/04","753.52","-30.06","-3.84","780.73","782.97","750.79","10254.0","427185.0","6.041399E7"
"2014/11/03","783.58","-20.13","-2.50","801.38","803.09","781.43","7586.0","314604.0","6.2760938E7"
"2014/10/31","803.71","-1.73","-0.21","809.63","810.86","798.77","7712.0","300911.0","6.4293491E7"
"2014/10/30","805.44","-10.99","-1.35","815.16","820.76","801.78","8217.0","388187.0","6.4475268E7"
"2014/10/29","816.43","34.41","4.40","790.63","823.02","787.67","11034.0","554818.0","6.5330216E7"
"2014/10/28","782.02","-10.09","-1.27","789.74","791.20","781.56","5194.0","278984.0","6.2615079E7"
"2014/10/27","792.11","25.48","3.32","773.62","795.07","773.04","8309.0","447957.0","6.3363205E7"
"2014/10/24","766.63","-1.16","-0.15","774.07","776.96","762.97","8370.0","392927.0","6.1385894E7"
"2014/10/23","767.79","-19.98","-2.54","781.81","787.43","766.77","6797.0","443320.0","6.1474071E7"
"2014/10/22","787.77","8.35","1.07","792.30","792.79","783.99","6223.0","400945.0","6.3107796E7"
"2014/10/21","779.42","-37.77","-4.62","808.63","808.63","777.98","8319.0","654216.0","6.2450358E7"
"2014/10/20","817.19","10.42","1.29","818.61","820.29","816.20","5600.0","281422.0","6.5372224E7"
"2014/10/17","806.77","4.62","0.58","812.01","812.67","802.32","6985.0","345747.0","6.4573329E7"
"2014/10/16","802.15","-7.60","-0.94","802.82","807.80","794.82","6966.0","357192.0","6.4193214E7"
"2014/10/15","809.75","-12.77","-1.55","822.04","825.53","808.57","5924.0","307714.0","6.4765259E7"
"2014/10/14","822.52","9.17","1.13","816.46","835.39","815.47","7487.0","383812.0","6.5747938E7"
"2014/10/13","813.35","-10.41","-1.26","811.31","816.40","802.93","6476.0","336455.0","6.5078422E7"
"2014/10/10","823.76","-20.78","-2.46","838.93","838.93","820.52","6359.0","341926.0","6.5949951E7"
"2014/10/08","844.54","-0.61","-0.07","833.62","848.85","833.27","5851.0","300662.0","6.7562989E7"
"2014/10/07","845.15","-7.30","-0.86","856.34","861.98","841.73","6474.0","238885.0","6.7626628E7"
"2014/10/06","852.45","7.92","0.94","850.29","861.01","843.69","6878.0","294625.0","6.81866E7"
"2014/10/02","844.53","-21.31","-2.46","858.56","860.13","842.17","7871.0","458618.0","6.7586078E7"
"2014/10/01","865.84","-18.21","-2.06","879.77","882.70","865.08","7675.0","395187.0","6.9202437E7"
"2014/09/30","884.05","-1.11","-0.13","884.69","888.42","878.75","6250.0","319070.0","7.0579737E7"
"2014/09/29","885.16","-26.34","-2.89","909.77","909.95","881.52","7852.0","464876.0","7.0705372E7"
"2014/09/26","911.50","-12.12","-1.31","913.73","915.95","907.05","4808.0","283639.0","7.2807297E7"
"2014/09/25","923.62","1.57","0.17","928.37","930.22","919.36","5384.0","271161.0","7.3762855E7"
"2014/09/24","922.05","-3.93","-0.42","923.46","925.66","918.93","5293.0","296070.0","7.3640121E7"
"2014/09/23","925.98","-7.82","-0.84","930.01","932.75","920.84","5309.0","319683.0","7.3925901E7"
"2014/09/22","933.80","-14.60","-1.54","949.55","949.61","930.26","4546.0","273392.0","7.4545308E7"
"2014/09/19","948.40","4.96","0.53","949.22","949.47","945.32","4050.0","226078.0","7.5685395E7"
"2014/09/18","943.44","-5.15","-0.54","947.08","949.10","943.13","4173.0","221647.0","7.5308769E7"
"2014/09/17","948.59","18.17","1.95","936.41","949.72","936.00","5254.0","307193.0","7.5725713E7"
"2014/09/16","930.42","-2.54","-0.27","932.89","934.00","928.77","3716.0","183797.0","7.4276161E7"
"2014/09/15","932.96","-0.69","-0.07","932.51","935.10","926.29","3827.0","208385.0","7.4461323E7"
"2014/09/12","933.65","3.17","0.34","932.59","939.51","931.58","4536.0","244475.0","7.4523538E7"
"2014/09/11","930.48","-1.00","-0.11","935.71","937.78","930.48","7033.0","477265.0","8.3146908E7"
"2014/09/05","931.48","10.15","1.10","922.03","935.53","922.03","6141.0","332344.0","8.3220945E7"
"2014/09/04","921.33","0.69","0.07","922.23","924.21","920.14","6609.0","261900.0","8.2334879E7"
"2014/09/03","920.64","-9.33","-1.00","925.43","927.56","915.72","8166.0","348689.0","8.2260197E7"
"2014/09/02","929.97","-7.56","-0.81","941.52","945.98","925.54","5381.0","326716.0","8.3029971E7"
"2014/09/01","937.53","-1.00","-0.11","939.33","943.64","936.48","4257.0","196430.0","8.3649136E7"
"2014/08/29","938.53","-9.81","-1.03","947.40","947.79","938.02","3974.0","263297.0","8.3718822E7"
"2014/08/28","948.34","-0.85","-0.09","946.11","953.40","944.22","4376.0","231305.0","8.4574486E7"
"2014/08/27","949.19","-0.29","-0.03","954.75","955.51","947.08","4293.0","235655.0","8.4630139E7"
"2014/08/26","949.48","0.09","0.01","951.58","955.85","947.97","4261.0","233376.0","8.4658519E7"
"2014/08/25","949.39","-1.11","-0.12","947.53","957.62","946.60","4665.0","229718.0","8.4652622E7"
