일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2017/02/24","451.49","-0.92","-0.20","453.08","454.75","450.70","25961.0","391090.0","1.65445462E8"
"2017/02/23","452.41","0.78","0.17","450.62","453.11","449.21","27583.0","377254.0","1.65774464E8"
"2017/02/22","451.63","-0.45","-0.10","451.97","452.50","450.08","25096.0","335230.0","1.65506387E8"
"2017/02/21","452.08","5.19","1.16","447.80","453.47","447.37","32713.0","392084.0","1.65673753E8"
"2017/02/20","446.89","-4.45","-0.99","450.85","451.24","445.43","22351.0","275643.0","1.63795888E8"
"2017/02/17","451.34","0.41","0.09","450.38","452.84","449.03","19475.0","290722.0","1.65401518E8"
"2017/02/16","450.93","-5.69","-1.25","456.74","456.99","448.95","30262.0","452567.0","1.65272808E8"
"2017/02/15","456.62","-3.95","-0.86","460.07","460.70","456.56","30214.0","349124.0","1.67365789E8"
"2017/02/14","460.57","0.07","0.02","461.42","461.87","458.48","25385.0","315077.0","1.68799059E8"
"2017/02/13","460.50","1.14","0.25","460.15","460.50","457.17","29842.0","310339.0","1.68773556E8"
"2017/02/10","459.36","3.27","0.72","458.57","460.84","457.54","28734.0","383377.0","1.68352528E8"
"2017/02/09","456.09","1.78","0.39","453.85","458.81","453.38","28095.0","392548.0","1.6716664E8"
"2017/02/08","454.31","-1.25","-0.27","454.88","455.39","450.49","29024.0","360070.0","1.66522507E8"
"2017/02/07","455.56","2.23","0.49","453.46","455.56","450.36","34123.0","324818.0","1.66986791E8"
"2017/02/06","453.33","4.84","1.08","453.63","457.94","453.33","90976.0","548988.0","1.66175099E8"
"2017/02/03","448.49","2.90","0.65","446.52","450.99","446.16","22631.0","363705.0","1.64398879E8"
"2017/02/02","445.59","-3.32","-0.74","446.90","449.68","445.51","30771.0","377898.0","1.63359189E8"
"2017/02/01","448.91","2.32","0.52","447.66","449.83","445.77","24796.0","355217.0","1.64572295E8"
"2017/01/31","446.59","-0.30","-0.07","446.15","450.53","445.42","29789.0","409292.0","1.63722049E8"
"2017/01/26","446.89","3.70","0.83","444.41","449.09","442.36","32902.0","431279.0","1.6388845E8"
"2017/01/25","443.19","1.96","0.44","443.48","445.38","441.22","23490.0","365430.0","1.62528256E8"
"2017/01/24","441.23","-1.42","-0.32","442.67","443.43","440.49","23042.0","292720.0","1.61813888E8"
"2017/01/23","442.65","-5.22","-1.17","448.01","448.50","442.65","21951.0","294246.0","1.6233303E8"
