일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2017/02/24","4606.90","-51.96","-1.12","4651.81","4654.84","4595.08","193366.0","3266454.0","8.13998268E8"
"2017/02/23","4658.86","-10.79","-0.23","4664.83","4669.21","4652.39","214277.0","2832415.0","8.23752593E8"
"2017/02/22","4669.65","12.34","0.26","4668.43","4673.18","4652.16","177014.0","2590492.0","8.2567354E8"
"2017/02/21","4657.31","37.33","0.81","4620.54","4677.18","4618.14","176727.0","2402176.0","8.23471862E8"
"2017/02/20","4619.98","23.77","0.52","4610.76","4622.53","4598.39","189170.0","1982912.0","8.16988924E8"
"2017/02/17","4596.21","4.77","0.10","4564.76","4597.94","4564.76","159030.0","2639396.0","8.1233387E8"
"2017/02/16","4591.44","9.82","0.21","4596.19","4609.87","4580.76","162362.0","2707442.0","8.11875322E8"
"2017/02/15","4581.62","34.24","0.75","4544.30","4593.75","4535.64","201690.0","3178040.0","8.09944624E8"
"2017/02/14","4547.38","-11.45","-0.25","4563.07","4583.82","4534.16","162989.0","2944461.0","8.04386736E8"
"2017/02/13","4558.83","-0.71","-0.02","4550.15","4566.58","4540.22","178463.0","2684345.0","8.06498753E8"
"2017/02/10","4559.54","6.02","0.13","4572.14","4581.85","4558.11","175481.0","3152714.0","8.06874971E8"
"2017/02/09","4553.52","-0.63","-0.01","4564.61","4574.56","4541.63","130495.0","2729530.0","8.06068883E8"
"2017/02/08","4554.15","-26.92","-0.59","4575.23","4575.23","4523.20","159689.0","3032242.0","8.06102671E8"
"2017/02/07","4581.07","-26.06","-0.57","4608.72","4608.72","4577.82","149537.0","2631412.0","8.10934824E8"
"2017/02/06","4607.13","2.92","0.06","4628.31","4632.46","4580.54","126121.0","2175059.0","8.15687975E8"
"2017/02/03","4604.21","0.48","0.01","4614.02","4617.83","4580.01","201944.0","3089190.0","8.14920049E8"
"2017/02/02","4603.73","-17.36","-0.38","4628.32","4653.07","4592.91","297687.0","3320049.0","8.14971917E8"
"2017/02/01","4621.09","23.58","0.51","4615.44","4629.82","4613.05","122899.0","2729146.0","8.17510582E8"
"2017/01/31","4597.51","-52.74","-1.13","4636.08","4636.08","4597.45","137791.0","3101530.0","8.13675786E8"
"2017/01/26","4650.25","39.08","0.85","4633.18","4662.83","4618.63","117298.0","2773412.0","8.23703845E8"
"2017/01/25","4611.17","20.88","0.45","4616.05","4621.30","4595.70","114505.0","2736813.0","8.16326487E8"
"2017/01/24","4590.29","1.92","0.04","4602.31","4610.77","4567.86","137109.0","2468387.0","8.11746396E8"
"2017/01/23","4588.37","26.62","0.58","4571.13","4593.03","4550.95","150765.0","2302464.0","8.11239157E8"
