일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2017/05/08","2292.76","51.52","2.30","2245.61","2292.76","2244.23","281761.0","6795938.0","1.487320271E9"
"2017/05/04","2241.24","21.57","0.97","2224.91","2241.24","2224.91","261919.0","4790759.0","1.454577899E9"
"2017/05/02","2219.67","14.23","0.65","2213.61","2229.74","2212.87","295140.0","4826500.0","1.441151796E9"
"2017/04/28","2205.44","-4.02","-0.18","2214.36","2217.04","2202.20","268642.0","5842676.0","1.430873638E9"
"2017/04/27","2209.46","1.62","0.07","2201.72","2211.59","2199.76","386107.0","6551274.0","1.432679121E9"
"2017/04/26","2207.84","10.99","0.50","2202.37","2210.61","2200.73","397526.0","5509195.0","1.430107693E9"
"2017/04/25","2196.85","23.11","1.06","2175.70","2196.85","2174.11","275897.0","5106632.0","1.422832247E9"
"2017/04/24","2173.74","8.70","0.40","2175.50","2177.89","2166.83","374714.0","4402841.0","1.407333069E9"
"2017/04/21","2165.04","15.89","0.74","2161.24","2169.46","2156.64","281540.0","4837703.0","1.40185201E9"
"2017/04/20","2149.15","10.75","0.50","2138.19","2150.43","2134.05","268316.0","5132502.0","1.393644196E9"
"2017/04/19","2138.40","-10.06","-0.47","2144.98","2148.03","2133.82","344221.0","4892976.0","1.386926683E9"
"2017/04/18","2148.46","2.70","0.13","2155.36","2155.36","2139.31","291399.0","3971075.0","1.393614544E9"
"2017/04/17","2145.76","10.88","0.51","2140.87","2150.70","2138.70","259304.0","3750130.0","1.392064303E9"
"2017/04/14","2134.88","-13.73","-0.64","2138.28","2141.61","2127.80","383688.0","3408417.0","1.385279447E9"
"2017/04/13","2148.61","19.70","0.93","2130.64","2148.61","2125.87","357583.0","4396072.0","1.394108754E9"
"2017/04/12","2128.91","5.06","0.24","2128.17","2129.82","2122.94","427358.0","3970631.0","1.381534908E9"
"2017/04/11","2123.85","-9.47","-0.44","2129.23","2136.55","2117.82","489309.0","4209404.0","1.378255108E9"
"2017/04/10","2133.32","-18.41","-0.86","2148.83","2148.83","2128.35","512917.0","4050059.0","1.384038381E9"
"2017/04/07","2151.73","-1.02","-0.05","2154.87","2155.70","2142.51","408457.0","4143351.0","1.395556937E9"
"2017/04/06","2152.75","-8.10","-0.37","2152.64","2153.83","2143.30","510164.0","4204111.0","1.3966292E9"
"2017/04/05","2160.85","-0.25","-0.01","2161.90","2164.85","2146.98","571691.0","4910758.0","1.40216863E9"
"2017/04/04","2161.10","-6.41","-0.30","2165.23","2166.94","2156.89","522093.0","4619289.0","1.402046554E9"
"2017/04/03","2167.51","7.28","0.34","2166.04","2171.33","2161.26","398514.0","4066025.0","1.405883015E9"
"2017/03/31","2160.23","-4.41","-0.20","2166.62","2166.93","2159.80","441640.0","4479971.0","1.400961585E9"
"2017/03/30","2164.64","-2.34","-0.11","2170.18","2174.16","2159.16","643564.0","4574158.0","1.403835585E9"
"2017/03/29","2166.98","3.67","0.17","2172.31","2172.31","2162.04","626793.0","5356116.0","1.403913277E9"
"2017/03/28","2163.31","7.65","0.35","2166.58","2169.14","2157.71","393970.0","5076568.0","1.401036286E9"
"2017/03/27","2155.66","-13.29","-0.61","2161.17","2165.25","2153.14","395863.0","5291302.0","1.395348806E9"
"2017/03/24","2168.95","-3.77","-0.17","2171.36","2179.34","2163.34","358673.0","5127078.0","1.403733238E9"
"2017/03/23","2172.72","4.42","0.20","2174.09","2182.42","2170.56","358608.0","5152409.0","1.406409944E9"
"2017/03/22","2168.30","-10.08","-0.46","2159.97","2170.00","2158.96","394426.0","5586038.0","1.404264981E9"
"2017/03/21","2178.38","21.37","0.99","2162.95","2181.99","2160.25","303941.0","5620095.0","1.410500369E9"
"2017/03/20","2157.01","-7.57","-0.35","2160.32","2160.57","2151.51","264947.0","4117273.0","1.396118874E9"
"2017/03/17","2164.58","14.50","0.67","2150.47","2164.59","2148.86","302788.0","4979595.0","1.401543225E9"
"2017/03/16","2150.08","17.08","0.80","2154.98","2156.85","2143.01","402424.0","5163958.0","1.391689013E9"
"2017/03/15","2133.00","-0.78","-0.04","2128.42","2135.38","2127.26","374700.0","4974871.0","1.380664798E9"
"2017/03/14","2133.78","16.19","0.76","2127.12","2135.50","2124.42","365075.0","5287892.0","1.380724236E9"
"2017/03/13","2117.59","20.24","0.97","2102.37","2122.88","2100.91","382129.0","4657807.0","1.369779491E9"
"2017/03/10","2097.35","6.29","0.30","2088.67","2102.05","2082.31","500861.0","5570688.0","1.356493259E9"
"2017/03/09","2091.06","-4.35","-0.21","2098.29","2100.08","2090.73","408229.0","5110475.0","1.352384164E9"
"2017/03/08","2095.41","1.36","0.06","2092.27","2101.56","2088.19","381442.0","4517061.0","1.355519188E9"
"2017/03/07","2094.05","12.69","0.61","2080.77","2096.79","2079.16","277830.0","3962687.0","1.354747806E9"
"2017/03/06","2081.36","2.61","0.13","2073.20","2083.80","2067.68","431445.0","4655902.0","1.346355445E9"
"2017/03/03","2078.75","-23.90","-1.14","2090.92","2091.59","2072.09","425936.0","5129278.0","1.344318883E9"
"2017/03/02","2102.65","11.01","0.53","2105.19","2112.58","2096.31","434713.0","6172420.0","1.360136704E9"
"2017/02/28","2091.64","6.12","0.29","2087.26","2094.41","2084.36","399822.0","5051497.0","1.351894956E9"
"2017/02/27","2085.52","-8.60","-0.41","2095.47","2097.24","2084.08","343702.0","4170047.0","1.347849638E9"
