지수명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"코스피","2107.63",,,,"1.8567178E7","2.33350302E8"
"코스피 200","272.89",,,,"3448209.0","1.70669798E8"
"코스피 100","2062.19",,,,"2371219.0","1.48924849E8"
"코스피 50","1798.14",,,,"1228684.0","1.18785162E8"
"코스피 200 중소형주","1023.19",,,,"1076990.0","2.1744949E7"
"코스피 200 초대형제외 지수","226.69",,,,,
"코스피200제외 코스피지수","2511.87",,,,,
"코스피 200 커뮤니케이션서비스","1591.02",,,,,
"코스피 200 건설","271.86",,,,"293697.0","5392725.0"
"코스피 200 중공업","335.08",,,,"349158.0","7248045.0"
"코스피 200 철강/소재","1025.72",,,,"76926.0","7745560.0"
"코스피 200 에너지/화학","1240.14",,,,"221416.0","1.6782669E7"
"코스피 200 정보기술","1745.51",,,,"488160.0","5.4184685E7"
"코스피 200 금융","740.27",,,,"745938.0","1.6287008E7"
"코스피 200 생활소비재","1277.61",,,,"413116.0","2.7365167E7"
"코스피 200 경기소비재","1581.14",,,,"458155.0","2.4159974E7"
"코스피 200 산업재","607.26",,,,"124900.0","5448113.0"
"코스피 200 헬스케어","1662.65",,,,"276743.0","6055852.0"
"음식료·담배","4324.93",,,,"974557.0","9926251.0"
"섬유·의류","280.95",,,,"730193.0","3279742.0"
"종이·목재","371.36",,,,"532317.0","837708.0"
"화학","5129.85",,,,"574925.0","2.4554452E7"
"제약","7742.47",,,,"729842.0","1.0481826E7"
"비금속","1364.96",,,,"131944.0","880253.0"
"금속","4977.27",,,,"547316.0","1.0779596E7"
"기계·장비","815.50",,,,"718802.0","5044346.0"
"전기전자","14092.18",,,,"3469027.0","5.7848784E7"
"의료·정밀기기","1997.37",,,,"2086967.0","1552160.0"
"운송장비·부품","1760.55",,,,"950962.0","2.0222469E7"
"유통","457.18",,,,"1764602.0","1.7700782E7"
"전기·가스","1300.79",,,,"91343.0","4105676.0"
"건설","115.55",,,,"957934.0","6452566.0"
"운송·창고","1527.43",,,,"1073871.0","4852747.0"
"통신","344.01",,,,"134526.0","4599279.0"
"금융","452.41",,,,"1300097.0","1.9689221E7"
"증권","1798.44",,,,"574136.0","3932508.0"
"보험","18017.39",,,,"173247.0","5080376.0"
"일반서비스","1065.18",,,,"1140137.0","2.6786479E7"
"제조","4658.86",,,,"1.1649255E7","1.4858527E8"
"코스피 대형주","2027.73",,,,"2453313.0","1.49766846E8"
"코스피 중형주","2545.50",,,,"2616291.0","3.5692306E7"
"코스피 소형주","2071.44",,,,"1.2854309E7","4.0138921E7"
"코스피 200 비중상한 30%","272.89",,,,,
"코스피 200 비중상한 25%","272.99",,,,,
"코스피 200 비중상한 20%","271.71",,,,,
"오락·문화",,,,,,
"IT 서비스",,,,,,
"부동산",,,,,,
"코스피 200 TOP 10","999.44",,,,,
