구별,총계,인구수,한국인,외국인,고령자,외국인비율,고령자비율
종로구,"2,031 ",150453,139417,11036,28764,7.335181086452247,19.118262846204463
용산구,"3,258 ",227106,213151,13955,39747,6.144707757610983,17.50151911442234
성동구,"4,409 ",284766,277361,7405,49462,2.6003806634218973,17.369348868895866
광진구,"3,828 ",351180,335554,15626,56819,4.449570021071815,16.179452132809384
동대문구,"3,268 ",359873,341149,18724,67030,5.202946595048809,18.626015288726858
중랑구,"4,512 ",387470,382155,5315,78955,1.371719100833613,20.377061449918703
성북구,"4,578 ",438168,425602,12566,80414,2.867849774515711,18.352321483997006
강북구,"3,331 ",292977,288113,4864,68617,1.6601985821412601,23.420609808961114
도봉구,"2,378 ",309494,306948,2546,70436,0.822633072046631,22.758437966487232
노원구,"3,006 ",502925,498213,4712,96422,0.936919023711289,19.17224238206492
은평구,"5,027 ",470869,466770,4099,93817,0.8705181271224056,19.9242252091346
서대문구,"3,793 ",320629,306231,14398,58113,4.490548266064517,18.12468616375936
마포구,"3,155 ",375162,363697,11465,57895,3.056013135658729,15.43200004264824
양천구,"4,447 ",439252,436028,3224,76317,0.7339750302787466,17.374309052662255
강서구,"3,546 ",568826,563058,5768,102096,1.0140183465594048,17.948546655743584
구로구,"5,003 ",415651,392405,23246,79984,5.592672698971011,19.243066899875135
금천구,"3,169 ",241105,227481,13624,45342,5.6506501316853655,18.805914435619336
영등포구,"4,566 ",397800,374794,23006,67509,5.783308195072901,16.97058823529412
동작구,"3,024 ",389714,378769,10945,70474,2.808469800930939,18.08351765653787
관악구,"5,772 ",497883,481956,15927,85418,3.198944330294467,17.15623951811972
서초구,"5,395 ",412078,407664,4414,65661,1.071156431549367,15.934119268682142
강남구,"7,721 ",550282,544873,5409,86606,0.982950559894745,15.738475908715897
송파구,"4,031 ",660025,654166,5859,108894,0.8876936479678801,16.49846596719821
강동구,"3,549 ",463318,459167,4151,82984,0.8959289300221446,17.91080855913217
