일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2015/02/24,1976.12,7.73,0.39,1975.65,1980.38,1972.61,309544.0,4262649.0,1229471283.0
2015/02/23,1968.39,6.94,0.35,1974.44,1976.96,1966.77,347581.0,4142518.0,1224574990.0
2015/02/17,1961.45,3.22,0.16,1955.77,1962.97,1952.33,304531.0,3510747.0,1220463775.0
2015/02/16,1958.23,0.73,0.04,1960.03,1963.44,1955.39,350944.0,3690780.0,1218670142.0
2015/02/13,1957.5,15.87,0.82,1949.32,1957.5,1946.94,351080.0,4073754.0,1218291649.0
2015/02/12,1941.63,-4.07,-0.21,1947.21,1947.47,1932.75,334825.0,4319340.0,1208275844.0
2015/02/11,1945.7,9.84,0.51,1942.34,1948.89,1937.95,307454.0,4227731.0,1210590445.0
2015/02/10,1935.86,-11.14,-0.57,1949.3,1954.2,1935.86,329203.0,4136832.0,1205357397.0
2015/02/09,1947.0,-8.52,-0.44,1949.5,1952.86,1944.79,310182.0,4326855.0,1212134056.0
2015/02/06,1955.52,2.68,0.14,1955.13,1955.52,1945.82,309818.0,5949733.0,1217108796.0
2015/02/05,1952.84,-9.95,-0.51,1961.15,1962.15,1945.42,395653.0,4334613.0,1215349284.0
2015/02/04,1962.79,10.83,0.55,1963.37,1970.27,1961.57,348032.0,5028816.0,1221801023.0
2015/02/03,1951.96,-0.72,-0.04,1960.11,1960.35,1940.74,369978.0,4659076.0,1214680337.0
2015/02/02,1952.68,3.42,0.18,1947.91,1956.1,1944.58,364831.0,4375860.0,1215563731.0
2015/01/30,1949.26,-1.76,-0.09,1964.13,1964.13,1948.6,441477.0,5889623.0,1213492316.0
2015/01/29,1951.02,-10.56,-0.54,1950.83,1960.12,1946.2,391034.0,5334660.0,1214462590.0
2015/01/28,1961.58,9.18,0.47,1946.71,1963.53,1943.59,400930.0,5333257.0,1220210452.0
2015/01/27,1952.4,16.72,0.86,1941.9,1952.41,1940.72,466962.0,4619118.0,1214526540.0
2015/01/26,1935.68,-0.41,-0.02,1928.26,1936.4,1924.14,330607.0,3969674.0,1204518131.0
2015/01/23,1936.09,15.27,0.79,1945.36,1945.36,1930.65,367702.0,4644549.0,1205486406.0
2015/01/22,1920.82,-0.41,-0.02,1926.01,1932.5,1916.56,343132.0,4597898.0,1196156121.0
2015/01/21,1921.23,2.92,0.15,1917.33,1921.88,1909.86,300843.0,4401216.0,1196688635.0
2015/01/20,1918.31,15.69,0.82,1908.62,1918.85,1907.97,280895.0,3636919.0,1193690149.0
2015/01/19,1902.62,14.49,0.77,1902.81,1912.42,1900.26,281120.0,3583091.0,1183896613.0
2015/01/16,1888.13,-26.01,-1.36,1907.07,1907.07,1885.62,298733.0,4008277.0,1174782572.0
2015/01/15,1914.14,0.48,0.03,1914.06,1919.69,1908.6,266544.0,3892782.0,1191087315.0
2015/01/14,1913.66,-3.48,-0.18,1919.31,1925.68,1913.51,297517.0,4526793.0,1190978917.0
2015/01/13,1917.14,-3.81,-0.2,1915.03,1920.77,1910.27,338989.0,4873084.0,1193106587.0
2015/01/12,1920.95,-3.75,-0.19,1918.18,1924.66,1917.88,311915.0,3581796.0,1195196342.0
2015/01/09,1924.7,20.05,1.05,1919.8,1929.1,1915.85,308781.0,4406669.0,1197321954.0
2015/01/08,1904.65,20.82,1.11,1895.85,1907.23,1891.77,262207.0,4395567.0,1185170312.0
2015/01/07,1883.83,1.38,0.07,1878.9,1887.6,1876.27,280510.0,3762677.0,1171990821.0
2015/01/06,1882.45,-33.3,-1.74,1895.48,1900.02,1877.38,303688.0,4755440.0,1171167157.0
2015/01/05,1915.75,-10.69,-0.55,1921.96,1921.96,1903.37,313443.0,4700136.0,1191526455.0
2015/01/02,1926.44,10.85,0.57,1914.24,1929.15,1909.67,258776.0,3696029.0,1198010248.0
2014/12/30,1915.59,-12.27,-0.64,1934.51,1937.55,1910.78,256437.0,3695016.0,1192252867.0
2014/12/29,1927.86,-20.3,-1.04,1937.27,1941.33,1927.83,265809.0,3436899.0,1199530880.0
2014/12/26,1948.16,1.55,0.08,1947.6,1954.77,1944.22,297006.0,3406230.0,1212496532.0
2014/12/24,1946.61,7.59,0.39,1940.76,1947.35,1936.74,283866.0,3040952.0,1211672361.0
2014/12/23,1939.02,-4.1,-0.21,1942.12,1944.75,1936.75,300797.0,3699646.0,1206722355.0
2014/12/22,1943.12,13.14,0.68,1938.16,1944.2,1928.89,324535.0,4210383.0,1209233265.0
2014/12/19,1929.98,32.48,1.71,1920.75,1930.08,1914.27,291792.0,4492734.0,1200654704.0
2014/12/18,1897.5,-2.66,-0.14,1917.67,1919.24,1881.73,337298.0,5321982.0,1180060070.0
2014/12/17,1900.16,-3.97,-0.21,1913.28,1913.28,1900.16,307269.0,4126755.0,1166393654.0
2014/12/16,1904.13,-16.23,-0.85,1909.01,1919.6,1901.13,369417.0,4372158.0,1169418313.0
2014/12/15,1920.36,-1.35,-0.07,1903.12,1920.43,1899.61,294421.0,3750325.0,1179328568.0
2014/12/12,1921.71,5.12,0.27,1921.61,1926.67,1915.0,363470.0,3800864.0,1179768455.0
2014/12/11,1916.59,-28.97,-1.49,1930.46,1937.23,1916.49,343635.0,4483230.0,1176794065.0
2014/12/10,1945.56,-25.39,-1.29,1964.04,1966.11,1943.27,367890.0,3921969.0,1194648226.0
2014/12/09,1970.95,-8.0,-0.4,1977.05,1977.15,1968.85,541162.0,3920050.0,1210256689.0
2014/12/08,1978.95,-7.67,-0.39,1988.8,1990.04,1976.89,295139.0,3174102.0,1214710820.0
2014/12/05,1986.62,0.01,0.0,1986.6,1989.17,1983.36,305548.0,3434291.0,1219300665.0
2014/12/04,1986.61,16.7,0.85,1976.3,1988.56,1976.1,244390.0,3548271.0,1219207715.0
2014/12/03,1969.91,4.08,0.21,1969.57,1973.96,1964.77,271112.0,3300716.0,1209520923.0
2014/12/02,1965.83,0.61,0.03,1959.4,1965.83,1954.4,317912.0,3878547.0,1206539932.0
2014/12/01,1965.22,-15.56,-0.79,1971.95,1971.97,1962.15,333977.0,4702648.0,1206702110.0
2014/11/28,1980.78,-1.31,-0.07,1983.22,1984.73,1975.66,340696.0,4301527.0,1216291668.0
2014/11/27,1982.09,1.25,0.06,1993.65,1994.82,1982.08,295509.0,5571155.0,1216647112.0
2014/11/26,1980.84,0.63,0.03,1984.83,1985.43,1972.95,253288.0,4149141.0,1213171829.0
2014/11/25,1980.21,1.67,0.08,1981.52,1981.85,1973.8,283188.0,6179891.0,1212030108.0
2014/11/24,1978.54,13.7,0.7,1982.48,1985.18,1974.37,325448.0,5522180.0,1212361924.0
2014/11/21,1964.84,6.8,0.35,1966.89,1969.43,1959.81,345924.0,4312378.0,1203532466.0
2014/11/20,1958.04,-8.83,-0.45,1960.72,1962.69,1952.44,339217.0,4897218.0,1199473654.0
2014/11/19,1966.87,-0.14,-0.01,1974.41,1974.41,1959.21,279559.0,4862234.0,1204123337.0
2014/11/18,1967.01,23.38,1.2,1951.93,1967.01,1951.93,251273.0,4162331.0,1203501311.0
2014/11/17,1943.63,-1.51,-0.08,1941.83,1948.33,1935.95,277521.0,4295322.0,1188565644.0
2014/11/14,1945.14,-15.37,-0.78,1959.64,1959.64,1940.49,314797.0,5229761.0,1189568574.0
2014/11/13,1960.51,-6.76,-0.34,1970.64,1973.33,1954.88,332595.0,3955188.0,1173224354.0
2014/11/12,1967.27,4.27,0.22,1965.21,1974.69,1961.66,348499.0,4453554.0,1177450841.0
2014/11/11,1963.0,4.77,0.24,1957.87,1965.41,1956.23,311396.0,4487342.0,1175336193.0
2014/11/10,1958.23,18.36,0.95,1952.79,1965.35,1952.79,313262.0,4569692.0,1172205579.0
2014/11/07,1939.87,3.39,0.18,1935.75,1943.26,1932.17,255424.0,3698464.0,1160795853.0
2014/11/06,1936.48,5.05,0.26,1933.45,1939.32,1923.05,360571.0,4810115.0,1159251242.0
2014/11/05,1931.43,-3.76,-0.19,1938.61,1944.5,1928.99,332277.0,4070610.0,1155979437.0
2014/11/04,1935.19,-17.78,-0.91,1950.15,1956.73,1928.52,391713.0,4971537.0,1158786117.0
2014/11/03,1952.97,-11.46,-0.58,1959.66,1961.04,1947.83,344497.0,4531278.0,1169555834.0
2014/10/31,1964.43,5.5,0.28,1963.26,1967.08,1951.07,349405.0,5484310.0,1176141815.0
2014/10/30,1958.93,-2.24,-0.11,1956.92,1959.49,1944.24,311049.0,5001949.0,1171918049.0
2014/10/29,1961.17,35.49,1.84,1938.8,1961.49,1931.59,396615.0,5453658.0,1172687222.0
2014/10/28,1925.68,-6.29,-0.33,1935.46,1936.28,1924.37,414616.0,3836238.0,1150732700.0
2014/10/27,1931.97,6.28,0.33,1933.91,1939.25,1929.26,408840.0,4067186.0,1154738007.0
2014/10/24,1925.69,-5.96,-0.31,1942.46,1942.72,1916.84,419428.0,5303285.0,1150626216.0
2014/10/23,1931.65,-5.32,-0.27,1932.43,1944.45,1924.14,372833.0,4410224.0,1153611569.0
2014/10/22,1936.97,21.69,1.13,1936.91,1936.99,1924.21,399095.0,4413393.0,1156193304.0
2014/10/21,1915.28,-14.78,-0.77,1923.62,1923.62,1911.03,405921.0,4370561.0,1143668374.0
2014/10/20,1930.06,29.4,1.55,1918.84,1933.12,1917.54,344669.0,3613517.0,1152487600.0
2014/10/17,1900.66,-18.17,-0.95,1923.51,1923.51,1896.54,362078.0,4649540.0,1134184890.0
2014/10/16,1918.83,-7.08,-0.37,1911.45,1922.94,1904.77,313611.0,4714662.0,1144980112.0
2014/10/15,1925.91,-3.34,-0.17,1932.11,1938.85,1918.77,310342.0,4086447.0,1149637323.0
2014/10/14,1929.25,2.04,0.11,1933.45,1940.21,1926.87,335506.0,4173407.0,1151248477.0
2014/10/13,1927.21,-13.71,-0.71,1919.48,1932.37,1918.48,308918.0,4026421.0,1149472751.0
2014/10/10,1940.92,-24.33,-1.24,1953.98,1953.98,1931.88,342823.0,4426278.0,1157291259.0
2014/10/08,1965.25,-7.66,-0.39,1957.9,1974.27,1957.9,266180.0,3830164.0,1172092213.0
2014/10/07,1972.91,4.52,0.23,1979.83,1982.96,1966.22,328234.0,3867833.0,1177791138.0
2014/10/06,1968.39,-7.77,-0.39,1987.89,1988.39,1968.3,325078.0,4815761.0,1174935314.0
2014/10/02,1976.16,-15.38,-0.77,1984.43,1985.06,1966.17,322656.0,4729990.0,1179088115.0
2014/10/01,1991.54,-28.55,-1.41,2013.47,2013.47,1989.84,351581.0,4441210.0,1188892215.0
2014/09/30,2020.09,-6.51,-0.32,2023.18,2029.17,2007.3,322812.0,4735620.0,1205667458.0
2014/09/29,2026.6,-5.04,-0.25,2035.93,2036.44,2021.37,339588.0,4482154.0,1210002566.0
2014/09/26,2031.64,-2.47,-0.12,2019.17,2031.65,2018.7,313524.0,3923739.0,1212299060.0
2014/09/25,2034.11,-1.53,-0.08,2045.66,2046.26,2030.09,325375.0,4767145.0,1213621148.0
2014/09/24,2035.64,6.73,0.33,2024.75,2036.26,2019.91,332586.0,4454289.0,1214686508.0
2014/09/23,2028.91,-10.36,-0.51,2028.9,2036.25,2025.16,427814.0,4684342.0,1211414916.0
2014/09/22,2039.27,-14.55,-0.71,2053.3,2053.3,2032.36,323891.0,3546258.0,1217580202.0
2014/09/19,2053.82,6.08,0.3,2057.56,2062.37,2053.66,397737.0,5082729.0,1226930256.0
2014/09/18,2047.74,-14.87,-0.72,2058.21,2063.26,2044.17,394273.0,5301546.0,1224740978.0
2014/09/17,2062.61,19.69,0.96,2052.06,2062.62,2051.11,351669.0,3547677.0,1234808846.0
2014/09/16,2042.92,7.1,0.35,2039.92,2045.65,2036.23,365691.0,3124074.0,1222848573.0
2014/09/15,2035.82,-6.04,-0.3,2039.03,2040.08,2028.8,297606.0,3193377.0,1218520932.0
2014/09/12,2041.86,7.7,0.38,2042.51,2048.21,2037.37,362672.0,3902826.0,1222399166.0
2014/09/11,2034.16,-15.25,-0.74,2046.97,2052.16,2034.13,333410.0,5085207.0,1218106324.0
2014/09/05,2049.41,-6.85,-0.33,2053.18,2059.04,2044.68,343350.0,4008853.0,1226434933.0
2014/09/04,2056.26,5.06,0.25,2059.05,2065.27,2050.79,376388.0,4565258.0,1230671342.0
2014/09/03,2051.2,-0.38,-0.02,2050.09,2054.08,2040.44,337971.0,4788980.0,1227489872.0
2014/09/02,2051.58,-16.28,-0.79,2065.97,2066.0,2049.15,323115.0,4036802.0,1228125552.0
2014/09/01,2067.86,-0.68,-0.03,2067.8,2072.59,2062.3,272469.0,3227361.0,1238177303.0
2014/08/29,2068.54,-7.22,-0.35,2070.73,2073.03,2060.14,301374.0,4170410.0,1238885906.0
2014/08/28,2075.76,0.83,0.04,2083.03,2088.86,2072.14,305877.0,3856656.0,1242448675.0
2014/08/27,2074.93,6.88,0.33,2075.45,2081.83,2070.77,337612.0,4377076.0,1241311661.0
2014/08/26,2068.05,7.16,0.35,2069.07,2072.42,2065.15,288908.0,3681605.0,1237096620.0
2014/08/25,2060.89,4.19,0.2,2049.16,2062.23,2044.2,272045.0,3509580.0,1232838851.0
2014/08/22,2056.7,12.49,0.61,2048.24,2058.46,2046.54,277858.0,3518019.0,1231530548.0
2014/08/21,2044.21,-28.57,-1.38,2067.63,2068.22,2041.91,307795.0,4543755.0,1223731385.0
2014/08/20,2072.78,1.64,0.08,2080.77,2082.21,2063.61,315355.0,4570238.0,1240739513.0
2014/08/19,2071.14,18.01,0.88,2065.19,2074.43,2064.34,327123.0,4354976.0,1239831248.0
2014/08/18,2053.13,-10.09,-0.49,2070.95,2073.05,2053.13,300419.0,3681608.0,1229293819.0
2014/08/14,2063.22,0.86,0.04,2065.69,2073.42,2056.06,270849.0,3896829.0,1235480942.0
2014/08/13,2062.36,20.89,1.02,2046.68,2062.36,2043.11,280664.0,4259535.0,1235137815.0
2014/08/12,2041.47,2.1,0.1,2048.39,2055.85,2038.14,312800.0,3787468.0,1222390791.0
2014/08/11,2039.37,8.27,0.41,2048.18,2048.18,2037.8,285843.0,3639332.0,1221590076.0
2014/08/08,2031.1,-23.41,-1.14,2049.51,2051.06,2026.56,354821.0,4575174.0,1216269889.0
2014/08/07,2054.51,-6.22,-0.3,2062.24,2063.53,2047.75,292936.0,3839026.0,1230673159.0
2014/08/06,2060.73,-5.53,-0.27,2062.93,2068.08,2055.68,377267.0,5166631.0,1234435500.0
2014/08/05,2066.26,-14.16,-0.68,2076.17,2077.73,2058.92,346821.0,4091101.0,1235463036.0
2014/08/04,2080.42,7.32,0.35,2080.77,2083.05,2067.17,253202.0,3928490.0,1244311925.0
2014/08/01,2073.1,-3.02,-0.15,2063.71,2079.81,2062.54,271966.0,5045081.0,1239637683.0
2014/07/31,2076.12,-6.49,-0.31,2081.75,2090.57,2070.78,383727.0,6152484.0,1242416181.0
