지수명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금,일자,종가,시가,고가,저가,상장시가총액
코스피,2018.89,1976.12,-42.77,-2.12,144204642.0,1963114940.0,,,,,,
코스피 200,267.15,251.28,-15.87,-5.94,34111481.0,1513301078.0,,,,,,
코스피 100,2027.68,1888.35,-139.33,-6.87,23768518.0,1345039962.0,,,,,,
코스피 50,1757.87,1613.5,-144.37,-8.21,15168251.0,1064198069.0,,,,,,
코스피 200 중소형주,912.66,997.21,84.55,9.26,,,,,,,,
코스피 200 초대형제외 지수,238.18,227.75,-10.43,-4.38,,,,,,,,
코스피200제외 코스피지수,1936.61,2304.32,367.71,18.99,,,,,,,,
코스피 200 커뮤니케이션서비스,1105.65,1439.45,333.8,30.19,,,,,,,,
코스피 200 건설,514.38,330.44,-183.94,-35.76,2854021.0,97533423.0,,,,,,
코스피 200 중공업,526.3,359.85,-166.45,-31.63,5112397.0,125670024.0,,,,,,
코스피 200 철강/소재,925.1,925.79,0.69,0.07,1466713.0,72217640.0,,,,,,
코스피 200 에너지/화학,1168.96,910.19,-258.77,-22.14,3271483.0,180069621.0,,,,,,
코스피 200 정보기술,1368.75,1570.65,201.9,14.75,6311312.0,441628676.0,,,,,,
코스피 200 금융,733.61,702.69,-30.92,-4.21,5615416.0,137222846.0,,,,,,
코스피 200 생활소비재,986.82,1248.67,261.85,26.53,4830898.0,207949701.0,,,,,,
코스피 200 경기소비재,2007.48,1783.84,-223.64,-11.14,4649242.0,251009147.0,,,,,,
코스피 200 산업재,856.01,799.21,-56.8,-6.64,,,,,,,,
코스피 200 헬스케어,1185.29,1212.56,27.27,2.3,,,,,,,,
음식료·담배,4022.65,4686.32,663.67,16.5,1995493.0,42918856.0,,,,,,
섬유·의류,206.42,402.59,196.17,95.03,3857207.0,23563495.0,,,,,,
종이·목재,301.61,343.17,41.56,13.78,4714104.0,10755843.0,,,,,,
화학,4136.93,4209.12,72.19,1.75,9642579.0,224032490.0,,,,,,
제약,4370.03,4891.26,521.23,11.93,8568224.0,41329004.0,,,,,,
비금속,763.23,1574.32,811.09,106.27,3684728.0,8900384.0,,,,,,
금속,5540.95,4817.67,-723.28,-13.05,5159428.0,77741220.0,,,,,,
기계·장비,1010.6,881.76,-128.84,-12.75,4821983.0,42734281.0,,,,,,
전기전자,11498.44,10929.89,-568.55,-4.94,18955925.0,402839141.0,,,,,,
